Titulo_libro	Autor	Subtitulo_libro	Cantidad ejemplares	Edicion	Año_publicacion	biblioitemnumber
Titulo_libro: El interregno de los lomonegros	Autor: Bouilly, Víctor	Subtitulo_libro: 1830-1835	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1977.	biblioitemnumber: 93
Titulo_libro: La conquista del progreso : 	Autor: Gasio, Guillermo H.	Subtitulo_libro: 1874-1880.	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1977.	biblioitemnumber: 94
Titulo_libro: Amortización de deudas y costos financieros.	Autor: Gianneschi, Mario Atilio	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: 1ra.ed.	Año_publicacion: 1980.	biblioitemnumber: 95
Titulo_libro: Procedimiento tributario : 	Autor: Giuliani Fonrouge, Carlos M	Subtitulo_libro: ley 11683 (t.o. 1978) Decreto reglamentario 1397/79.	Cantidad ejemplares: 2	Edicion: 1ra.ed.	Año_publicacion: 1984.	biblioitemnumber: 96
Titulo_libro: Derecho financiero.	Autor: Giuliani Fonrouge, Carlos M	Subtitulo_libro: sin datos	Cantidad ejemplares: 3	Edicion: 3ra.ed.	Año_publicacion: 1977.	biblioitemnumber: 97
Titulo_libro: Elementos de cálculo actuarial.	Autor: González Gale, José	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: 5ta.ed.	Año_publicacion: 1977.	biblioitemnumber: 98
Titulo_libro: El descendiente desheredado.	Autor: Guglianone, Aquiles H	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: 1ra.ed.	Año_publicacion: 1958.	biblioitemnumber: 99
Titulo_libro: Secuelas del unicato : 	Autor: Guido, Horacio J.M.	Subtitulo_libro: 1890-1896.	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1977.	biblioitemnumber: 100
Titulo_libro: Rusia por dentro, hoy.	Autor: Gunther, John	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1958.	biblioitemnumber: 101
Titulo_libro: Derecho financiero.	Autor: Giuliani Fonrouge, Carlos M	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: 1ra.ed.	Año_publicacion: 1962.	biblioitemnumber: 102
Titulo_libro: Ciencia de la administración.	Autor: Hermida, Jorge Alfredo	Subtitulo_libro: sin datos	Cantidad ejemplares: 20	Edicion: 1ra.ed.	Año_publicacion: 1979.	biblioitemnumber: 103
Titulo_libro: La economía de la Argentina : 	Autor: Ferrer, Aldo	Subtitulo_libro: las etapas del desarrollo y problemas actuales.	Cantidad ejemplares: 3	Edicion: 8va.ed.	Año_publicacion: 1973.	biblioitemnumber: 104
Titulo_libro: Contabilidad gerencial : 	Autor: Herrscher, Enrique G	Subtitulo_libro: la información empresaria para planeamiento, gestión y control.	Cantidad ejemplares: 5	Edicion: 1ra.ed.	Año_publicacion: 1979.	biblioitemnumber: 105
Titulo_libro: Código Penal de la Nación Argentina : 	Autor: Hortel, Carlos E.	Subtitulo_libro: texto ordenado.	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1985.	biblioitemnumber: 106
Titulo_libro: Derecho financiero.	Autor: Giuliani Fonrouge, Carlos M	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 2da.ed.	Año_publicacion: 1970.	biblioitemnumber: 107
Titulo_libro: La experiencia radical : 	Autor: Iñigo Carrera, Héctor J.	Subtitulo_libro: 1916-1922.	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1980.	biblioitemnumber: 108
Titulo_libro: La experiencia radical : 	Autor: Iñigo Carrera, Héctor J.	Subtitulo_libro: 1916-1922.	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1980.	biblioitemnumber: 109
Titulo_libro: El tránsito del siglo XIX al XX : 	Autor: Irazusta, Julio	Subtitulo_libro: 1896-1904.	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1977.	biblioitemnumber: 110
Titulo_libro: Derecho financiero.	Autor: Giuliani Fonrouge, Carlos M	Subtitulo_libro: sin datos	Cantidad ejemplares: 3	Edicion: 3ra.ed.	Año_publicacion: 1977.	biblioitemnumber: 111
Titulo_libro: Universidad, formación de administradores y sector público.	Autor: Kliksberg, Bernardo	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1983.	biblioitemnumber: 112
Titulo_libro: Divorcio por presentación conjunta : 	Autor: Lagomarsino, Carlos A. R	Subtitulo_libro: artículo 67 bis, ley 2393.	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1981.	biblioitemnumber: 113
Titulo_libro: Derecho financiero.	Autor: Giuliani Fonrouge, Carlos M	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: 1ra.ed.	Año_publicacion: 1962.	biblioitemnumber: 114
Titulo_libro: El dictamen del auditor : 	Autor: Lazzati, Santiago C.	Subtitulo_libro: Recopilación de normas profesionales.	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1976.	biblioitemnumber: 115
Titulo_libro: Generalización del IVA :	Autor: Lavia, Osvaldo N	Subtitulo_libro: Ley	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1980.	biblioitemnumber: 116
Titulo_libro: Multievaluación de proyectos de nuevos productos.	Autor: Levy, Alberto R	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 3ra.ed.	Año_publicacion: 1978.	biblioitemnumber: 117
Titulo_libro: El mercado común europeo.	Autor: Lojeweski, Werner Von	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1960.	biblioitemnumber: 118
Titulo_libro: Entre la monarquía y la república : 	Autor: Lopez Rosas, José Rafael	Subtitulo_libro: 1815-1820.	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1981.	biblioitemnumber: 119
Titulo_libro: Empresas multinacionales.	Autor: Lozada, Salvador María	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1973.	biblioitemnumber: 120
Titulo_libro: Guía ilustrativa de la casa histórica de la independencia argentina.	Autor: Lizondo Borda, Manuel	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1980.	biblioitemnumber: 121
Titulo_libro: Derecho sucesorio en la reforma del Código Civil.	Autor: Maffia, Osvaldo J.	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1972.	biblioitemnumber: 122
Titulo_libro: Introducción filosófica a la economía.	Autor: Mancini, Luis G.	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1955.	biblioitemnumber: 123
Titulo_libro: Manual básico de métodos de camino crítico.	Autor: Marin, Isidoro	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: 1ra.ed.	Año_publicacion: 1977.	biblioitemnumber: 124
