Titulo del libro;Autor;Subtitulo del libro;Ejemplares disponibles;Edicion;Año publicacion
Evolución del impuesto de los réditos  ;Castro, Juan Pedro;período 1956-1969;3;2da.;1969
Ensayos sobre monetización e inflación.;Cena, Juan Carlos;sin informacion;1;1ra.;1983
Evolución económica de Mendoza en la época colonial.;Coria, Luis Alberto;sin informacion;1;1ra.;1988
Informática y desarrollo  ;Cline, William R;política comercial e industrial en la Argentina, Brasil y México.;2;1ra.;1987
Salarios.;Dobb, Maurice;sin informacion;5;3ra.;1973
Curso de derecho civil.;Nieto Blanc, Ernesto E;sin informacion;2;1ra.;1981
El gobierno de los pueblos  ;Chianelli, Trinidad Delia;1862-1868.;1;1ra.;1980
Tablas financieras.;Dagna, Conrado;sin informacion;1;1ra.;1978
Los problemas, objetivos y subjetivos de la consolidación de la democracia.;Delich, Francisco;sin informacion;1;1ra.;1988
Impuesto de sellos  ;Diaz, Vicente Oscar;Aspectos económicos y jurídicos.;2;1ra.;1976
Computación para contadores y empresarios.;Di Pasquale, Pascual D.;sin informacion;2;1ra.;1979
La consolidación de balances.;Dupuis, Michel;sin informacion;1;1ra.;1969
Diagrama comprarativo  ;Feijoo, Eudaldo;normas contables.;1;1ra.;1980
Mercaderes y banqueros de la edad media.;Le Goff, Jacques;sin informacion;1;7ma.;1975
Lecciones de programación no lineal.;Fernandez Pol, Jorge Eduardo;sin informacion;2;1ra.;1980
Apogeo y crisis del liberalismo  ;Ferrari, Gustavo;1886-1890.;1;1ra.;1978
Del fraude a la soberanía popular  ;Ferrero, Roberto A.;1938-1946.;1;1ra.;1980
Análisis de estados contables.;Fowler Newton, Enrique;sin informacion;1;1ra.;1990
Contabilidad básica.;Fowler Newton, Enrique;sin informacion;20;1ra.;1982
Contabilidad con inflación.;Fowler Newton, Enrique;sin informacion;3;1ra.;1980
El plan de cuentas como sistema integral.;Fresco, Juan Carlos;sin informacion;9;1ra.;1978
Concursos  ;Fassi, Santiago C;comentario exegético de la Ley 19551 con las reformas de la Ley 22.917 y jurisprudencia actualizada.;1;3ra.;1989
Verificación de créditos.;Galindez, Oscar A.;sin informacion;2;1ra.;1990
El interregno de los lomonegros;Bouilly, Víctor;1830-1835;1;1ra.;1977
La conquista del progreso  ;Gasio, Guillermo H.;1874-1880.;1;1ra.;1977
Amortización de deudas y costos financieros.;Gianneschi, Mario Atilio;sin informacion;2;1ra.;1980
Procedimiento tributario  ;Giuliani Fonrouge, Carlos M;ley 11683 (t.o. 1978) Decreto reglamentario 1397/79.;2;1ra.;1984
Derecho financiero.;Giuliani Fonrouge, Carlos M;sin informacion;3;3ra.;1977
Elementos de cálculo actuarial.;González Gale, José;sin informacion;2;5ta.;1977
El descendiente desheredado.;Guglianone, Aquiles H;sin informacion;2;1ra.;1958
Secuelas del unicato  ;Guido, Horacio J.M.;1890-1896.;1;1ra.;1977
Rusia por dentro, hoy.;Gunther, John;sin informacion;1;1ra.;1958
Derecho financiero.;Giuliani Fonrouge, Carlos M;sin informacion;2;1ra.;1962
Ciencia de la administración.;Hermida, Jorge Alfredo;sin informacion;20;1ra.;1979
La economía de la Argentina  ;Ferrer, Aldo;las etapas del desarrollo y problemas actuales.;3;8va.;1973
Contabilidad gerencial  ;Herrscher, Enrique G;la información empresaria para planeamiento, gestión y control.;5;1ra.;1979
Código Penal de la Nación Argentina  ;Hortel, Carlos E.;texto ordenado.;1;1ra.;1985
Derecho financiero.;Giuliani Fonrouge, Carlos M;sin informacion;1;2da.;1970
La experiencia radical  ;Iñigo Carrera, Héctor J.;1916-1922.;1;1ra.;1980
La experiencia radical  ;Iñigo Carrera, Héctor J.;1916-1922.;1;1ra.;1980
El tránsito del siglo XIX al XX  ;Irazusta, Julio;1896-1904.;1;1ra.;1977
Derecho financiero.;Giuliani Fonrouge, Carlos M;sin informacion;3;3ra.;1977
Universidad, formación de administradores y sector público.;Kliksberg, Bernardo;sin informacion;1;1ra.;1983
Divorcio por presentación conjunta  ;Lagomarsino, Carlos A. R;artículo 67 bis, ley 2393.;1;1ra.;1981
Derecho financiero.;Giuliani Fonrouge, Carlos M;sin informacion;2;1ra.;1962
El dictamen del auditor  ;Lazzati, Santiago C.;Recopilación de normas profesionales.;1;1ra.;1976
Generalización del IVA ;Lavia, Osvaldo N;Ley;1;1ra.;1980
Multievaluación de proyectos de nuevos productos.;Levy, Alberto R;sin informacion;1;3ra.;1978
El mercado común europeo.;Lojeweski, Werner Von;sin informacion;1;1ra.;1960
Entre la monarquía y la república  ;Lopez Rosas, José Rafael;1815-1820.;1;1ra.;1981
Empresas multinacionales.;Lozada, Salvador María;sin informacion;1;1ra.;1973
Guía ilustrativa de la casa histórica de la independencia argentina.;Lizondo Borda, Manuel;sin informacion;1;1ra.;1980
Derecho sucesorio en la reforma del Código Civil.;Maffia, Osvaldo J.;sin informacion;1;1ra.;1972
Introducción filosófica a la economía.;Mancini, Luis G.;sin informacion;1;1ra.;1955
Manual básico de métodos de camino crítico.;Marin, Isidoro;sin informacion;2;1ra.;1977
Manual básico de métodos de camino crítico.;Marin, Isidoro;sin informacion;2;1ra.;1977
Programación lineal  ;Marin, Isidoro;modelización y enunciados.;6;1ra.;1980
Economía internacional monetaria  ;Martiarena Mantel, Ana M;Teoria de la balanza de pagos.;1;1ra.;1978
La nueva Argentina  ;Martinez, Pedro Santos;1946-1955.;11;1ra.;1979
Sindicación de acciones.;Mascheroni, Fernando H;sin informacion;2;2da.;1979
Nuevo régimen de control societario.;Mascheroni, Fernando H;sin informacion;1;1ra.;1972
La asamblea en la sociedad anónima  ;Mascheroni, Fernando H;manual teórico práctico.;2;2da.;1976
El directorio en la sociedad anónima.;Mascheroni, Fernando H;sin informacion;2;1ra.;1978
Ley de sociedades comerciales  ;Mascheroni, Fernando H;"ley 19550; texto actualizado.";1;1ra.;1981
Vínculo accionista, sociedad anónima y el contrato de suscripción.;Mascheroni, Fernando H;sin informacion;2;1ra.;1970
La gerencia de la sociedad anónima.;Megna, Pedro Pascual;sin informacion;2;1ra.;1970
Capacidad para aceptar y repudiar herencias.;Mendez Costa, María J;sin informacion;1;2da.;1978
El nacimiento de la república 1763-1789.;Morgan, Edmundo;sin informacion;1;1ra.;1965
Preparación técnica, evaluación económica y presentación de proyectos.;Munier, Nolberto Juan;sin informacion;2;1ra.;1979
Programación lineal.;Munier, Nolberto Juan;sin informacion;1;3ra.;1979
Técnicas modernas para el planeamiento y control de la producción.;Munier, Nolberto Juan;sin informacion;2;1ra.;1978
Libertadores y desarrollistas  ;Odena, Isidro J.;1955 1962.;1;1ra.;1977
Estados contables consolidados.;Okretic, Carlos L;sin informacion;6;3ra.;1976
Antecedentes del derecho del trabajo en Venezuela (1916-1928);Parra Aranguren, Fernando Ignacio;sin informacion;1;1ra.;1980
El derrumbe de la confederación  ;Paez De La Torre, Carlos;1855-1862.;1;1ra.;1977
Elementos de contabilidad  ;Picoli, Ángel M.;Tercer Curso.;1;4ta.;1947
Elementos de contabilidad  ;Picoli, Ángel M.;Segundo Curso.;1;12da.;1954
Siglo y medio de la economía argentina.;Pinedo, Federico;sin informacion;3;1ra.;1961
Necesidad de la conciliación obligatoria en el proceso civil.;Pizoni, Mario C.;sin informacion;1;1ra.;1969
Legislación administrativa actualizada año 1970.;Poclava Lafuente, Juan Carlos;sin informacion;2;1ra.;1970
Leyes y decretos de trabajo y previsión.;Prado, Pedro F;sin informacion;1;2da.;1949
Leyes y decretos de trabajo y previsión.;Prado, Pedro F;sin informacion;1;1ra.;1948
Justicia de paz nacional y provincial.;Prat, Ana M.;sin informacion;1;1ra.;1971
Propuestas para una Argentina creciente.;Avila, Jorge C.;sin informacion;1;1ra.;1989
Impuesto a los réditos  ;Rabinovich, Marcos;exposición y comentario.;1;1ra.;1957
Legislación del trabajo.;Raimondi, Carlos A;sin informacion;2;1ra.;1952
Derechos individuales del socio.;Reyes, Rafael Hugo;sin informacion;1;3ra.;1993
Las ideas penales de Blasco Ibañez.;Rivacoba y Rivacoba, Manuel De;sin informacion;1;1ra.;1966
Ley de entidades financieras N° 21526.;Rodriguez, Alfredo C.;sin informacion;2;1ra.;1977
Introducción a la contabilidad superior.;Rodríguez, Roberto Mario;sin informacion;4;1ra.;1986
Análisis estadístico demográfico para las tomas de decisiones.;Rodríguez, Hugo Miguel;sin informacion;1;1ra.;1982
El sistema financiero argentino  ;Rodriguez, Alfredo C.;estructuras, leyes y normas.;4;1ra.;1978
La felíz experiencia  ;Romero, Luis Alberto;1820-1824.;1;1ra.;1976
Análisis histórico de la independencia argentina.;Rosa, José María;sin informacion;1;4ta.;1974
La incidencia del rol del estado en la administración pública.;Roulet, Jorge Esteban;sin informacion;2;1ra.;1988
Hacia Caseros  ;Rube, Julio Horacio;1850-1852.;1;1ra.;1978
Entre dos centenarios  ;Saenz, Jimena;1910-1916.;1;1ra.;1976
La república dividida  ;Saenz Quesada, María;1852-1855.;1;1ra.;1979
Una metodología para el análisis de sistemas.;Salgado, Raúl C.;sin informacion;5;1ra.;1977
Tabla de logaritmos, trigonométricos y de cálculo de intereses.;Sánchez Ramos, Eusebio;sin informacion;1;10ma.;1935
La democracia ficta  ;Sanguinetti, Horacio;1930-1938.;1;1ra.;1977
La suma del poder  ;Saravi, Mario Guillermo;1835-1840.;1;1ra.;1981
Las brevas maduras  ;Scenna, Miguel Ángel;1804-1810.;1;1ra.;1977
La aurora de la Independencia  ;Segreti, Carlos S.A.;1810-1815.;1;1ra.;1980
La aurora de la Independencia  ;Segreti, Carlos S.A.;1810-1815.;1;1ra.;[199-]
"Nuevo derecho accionario y de ""Konzern"" de Alemania.";Semon, Juan M;sin informacion;3;1ra.;1969
Ajuste contable por inflación.;Senderovich, Isaac Aizik;sin informacion;6;1ra.;1980
Diagramación lógica  ;Seoane, José A.;lenguaje Cobol, Fortran.;1;1ra.;1979
Sistemas informáticos.;Seoane, José A.;sin informacion;14;1ra.;1981
Teoría de la administración de organizaciones.;Solana, Ricardo F;sin informacion;15;1ra.;1978
Estadística.;Sortheix, J.;sin informacion;1;1ra.;[19--]
Política económica  ;Tinbergen, Jan;principios y formulación.;3;1ra.;1961
Manual para la gestión profesional y empresaria  ;Vacarezza, Juan Carlos;administrativa, contable, societaria-impositiva, laboral.;2;1ra.;1980
Leyes penales.;Vázquez Iruzubieta, Carlos;sin informacion;1;1ra.;1973
Manual de ajuste por inflación de los estados contables.;Wainstein, Mario;sin informacion;2;2da.;1980
La magra cosecha  ;Vedoya, Juan Carlos;1868-1874.;1;1ra.;1979
Interpretación de balances.;Wall, Alexander;sin informacion;3;1ra.;1952
Algebra.;Rojo, Armando O;sin informacion;1;1ra.;1972
Anales de la X Convención Nacional de Consejos Profesionales de Ciencias Económicas.;sin informacion;sin informacion;3;1ra.;1978
Argentina  ;Cuccorese, Horacio Juan;manual de historia económica y social.;12;1ra.;1983
Memoria anual.;sin informacion;sin informacion;1;1ra.;1984
Energy form.;sin informacion;sin informacion;1;1ra.;1983
Las Naciones Unidas al alcance de todos.;sin informacion;sin informacion;1;2da.;1960
El mercado del tabaco y la evolución de la economía tabacalera en la última década.;sin informacion;sin informacion;1;1ra.;1978
Novenas Jornadas Nacionales de Docentes en Administración Financiera  ;sin informacion;disertaciones.;1;1ra.;1989
Novenas Jornadas Nacionales de Docentes en Administración Financiera  ;sin informacion;disertaciones.;1;1ra.;1989
Séptimas Jornadas Nacionales de Sistemas de Información.;sin informacion;sin informacion;1;1ra.;1985
Primeras Jornadas Nacionales de la Pequeña y Mediana Empresa  ;sin informacion;desarrollar la realidad para consolidar el crecimiento.;1;1ra.;1988
Jornadas Universitarias de Contabilidad;sin informacion;sin informacion;1;1ra.;1991
Caracterización y desarrollo regional bonaerense.;sin informacion;sin informacion;1;1ra.;1979
Decimoterceras Jornadas Universitarias de Contabilidad.;sin informacion;sin informacion;5;1ra.;1992
Código Civil de la República Argentina  ;sin informacion;leyes complementarias y modificatorias.;1;1ra.;1943
Código de Comercio.;sin informacion;sin informacion;1;1ra.;1991
Ley de fideicomisos.;Michelson, Guillermo;sin informacion;2;1ra.;1970
Replanteo de la técnica contable  ;Fortini, Hernando Luis;su estructura básica, su acercamiento a la economía.;2;1ra.;1980
Dictionnaire des mathématiques appliquées.;sin informacion;sin informacion;1;1ra.;[199-]
Cuba 1959-1991  ;sin informacion;evaluando el castrato.;1;1ra.;1991
Municipalismo y democracia  ;sin informacion;encuentros municipales bonaerenses.;2;1ra.;1988
Municipalismo y democracia  ;sin informacion;encuentros municipales bonaerenses.;2;1ra.;1988
