Titulo del libro;Autor;Subtitulo del libro;Ejemplares disponibles;Edicion;Año publicacion
Probabilidad y estadística.;Spiegel, Murray R;sin informacion;1;1ra.;2000
Rol de la educación y la capacitación en el crecimiento económico.;Delfino, José A;sin informacion;2;1ra.;1998
Fundamentos de mercadotecnia.;Kotler, Philip;sin informacion;1;4ta.;1998
Sistema de información contable.;Priotto, Hugo C;sin informacion;20;2da.;2000
Ensayos sobre teoría de la distribución de la renta.;Fellner, William;sin informacion;15;1ra.;1961
Principios de economía de la empresa.;Ballestero, Enrique;sin informacion;10;1ra.;1971
Economía de la administración de empresas  ;Spencer, Milton H;adopción de decisiones y planeación.;7;1ra.;1967
Economía de la hacienda pública.;Taylor, Philip E;sin informacion;1;1ra.;1960
Ensayos sobre teoría monetaria.;Robertson, Dennis H.;sin informacion;1;3ra.;1961
Aspectos sociologicos del desarrollo económico.;Hoselitz, Bert F.;sin informacion;1;2da.;1970
Los planes de estabilización en la Argentina.;Ferrer, Aldo;sin informacion;1;1ra.;1969
La decisión estadística.;Bross, Irwin D.J.;sin informacion;1;1ra.;1958
Los grandes problemas de la economía contemporánea.;Nogaro, Bertrand;sin informacion;1;3ra.;1966
Hacia un mundo sin necesidades.;Hoffman, Paul G.;sin informacion;2;1ra.;1965
La política  petrolera internacional.;Durand, Daniel;sin informacion;1;1ra.;1965
Panoramas contemporáneos de la teoría económica  ;Simon, Herbert A.;asignación de  recursos.;1;1ra.;1970
Panoramas contemporáneos de la teoría económica  ;Hahn, Frank H;crecimiento y desarrollo.;1;1ra.;1970
Filosofía económica.;Robinson, Joan;sin informacion;1;1ra.;1966
Curso de política económica argentina.;Aleman, Roberto T.;sin informacion;1;1ra.;1970
Comercio internacional y crecimiento económico.;Johnson, Harry G.;sin informacion;1;1ra.;1971
Economía política y economía de la empresa.;Schneider, Erich;sin informacion;1;1ra.;1968
La integración económica latinoamericana y la política de Estados Unidos.;Grunwald, Joseph;sin informacion;1;1ra.;1973
Análisis del mercado de eurodolares  ;Seyffert, Luis R.;origen, desarrollo y consecuencias.;1;1ra.;1973
Moneda y desarrollo económico.;Friedman, Milton;sin informacion;4;1ra.;1976
Economía monetaria.;Arnaudo, Aldo A;sin informacion;2;1ra.;1972
Estructura y transacciones del sistema financiero.;Brcich, Juan M.;sin informacion;1;1ra.;1972
Cuentas nacionales.;Kendrick, John W.;sin informacion;4;1ra.;1977
Convocatorias, quiebras y arreglos privados.;Seoane, Joaquín Raúl;sin informacion;1;2da.;1944
Manual del profesor y clave de respuestas a la guía de estudio y libro de ejercicios.;Samuelson, Paul Anthony;sin informacion;3;2da.;1967
Introducción a la investigación operativa.;Mccloskey, Joseph F.;sin informacion;1;1ra.;1968
Programas de desarrollo económico  ;Cuello, Raúl E;introducción a su estudio.;2;1ra.;1964
La distribución del ingreso en América Latina.;Pinto, Aníbal;sin informacion;1;2da.;1969
El sector público.;Haveman, Robert H.;sin informacion;1;1ra.;1970
Las fluctuaciones económicas.;Jorh, Walter Adolf;sin informacion;1;1ra.;1958
Lecturas de macroeconomía.;Mueller, M.G.;sin informacion;1;1ra.;1971
Vida y doctrina de los grandes economistas.;Heilbroner, Robert L;sin informacion;1;2da.;1972
Desarrollo y estancamiento en el proceso económico argentino.;Broder, Pablo;sin informacion;1;1ra.;1972
Temas de economía y otros ensayos  ;Vicchi, Oscar D;balance de pagos, moneda, inflación.;1;1ra.;1969
El Banco Central Latinoamericano  ;Coers, Hermann Max;"una""utopía""en busca de su realización.";1;1ra.;[19--]
La economía y el interés privado.;Gill, Richard T;sin informacion;1;1ra.;1973
La banca moderna.;Sayers, Richard S;sin informacion;1;5ta.;1963
La cuenta corriente bancaria.;Nougues, Rodolfo A.;sin informacion;1;1ra.;1970
Manual de economía política y argentina.;Cichero, Mario Alberto;sin informacion;1;19na.;1973
Acerca de la distribucióny niveles de ingreso en la Argentina  ;Sigaut, Lorenzo Juan;1950-1972.;1;1ra.;1972
Sociología y economía de la vivienda.;Smith, Wallace;sin informacion;1;1ra.;1973
Economics analysis  ;Boulding, Kenneth E.;microeconomics.;1;4ta.;1955
El desarrollo argentino.;Daus, Federico A.;sin informacion;1;3ra.;1974
Economic analysis  ;Boulding, Kenneth E.;macroeconomics.;1;4ta.;1955
El poder económico  ;Furtado, Celso;Estados Unidos y América Latina.;1;1ra.;1972
Economics  ;Ulmer, Melville J.;theory and practice.;1;2da.;1959
Principios de microeconomía.;Reynolds, Lloyd G;sin informacion;1;1ra.;1975
Principios de economía.;Brown, Gary D;sin informacion;1;1ra.;1977
Principles of marketing  ;Buskirk, Richard H.;the managment view.;1;1ra.;1964
Los sistemas fiscales y el mercado común.;Reboud, Louis;sin informacion;1;1ra.;1966
Recursos humanos como riqueza de las naciones.;Harbison, Frederick H.;sin informacion;1;1ra.;1977
Accounting in business decisions  ;Black, Homer A.;theory, method, and use.;1;2da.;1967
Economía y finanzas públicas  ;Matocq, Eugenio Andrés;transgreciones constitucionales.;5;1ra.;sf
Macroeconomía.;Smith, Warren L;sin informacion;2;2da.;1976
Qué es una cooperativa de créditos y el Instituto Movilizador de Fondos Cooperativos.;Kreimer, Jaime;sin informacion;3;1ra.;1963
La economía internacional del desarrollo.;Meier, Gerald M;sin informacion;3;1ra.;1978
Curso básico de muestreo de trabajo.;sin informacion;sin informacion;1;1ra.;1964
Economía monetaria.;Blejer, Mario I;sin informacion;1;1ra.;1977
Dinero, precios y la balanza de pagos  ;Blejer, Mario I.;la experiencia de México 1950-1973.;1;1ra.;1977
La renta de la tierra.;Leiserson, Samson;sin informacion;1;1ra.;1939
Bienestar para todos.;Erhard, Ludwig;sin informacion;1;1ra.;sf
Nueva política comercial para el desarrollo.;Prebisch, Raúl;sin informacion;1;1ra.;1964
Ciclos económicos y política de estabilización.;Padilla Aragón, Enrique;sin informacion;1;1ra.;1967
El futuro de los paises subdesarrollados  ;Staley, Eugene;implicaciones políticas del desarrollo económico.;1;1ra.;1963
La inflación  ;Meiselman, David I.;un fenómeno mundial.;1;1ra.;1977
Comercio internacional  ;Hays, Richard D.;introducción al mundo de la empresa multinacional.;1;1ra.;1974
Principios de administración.;Álvarez, Héctor Felipe;sin informacion;8;1ra.;1996
La prosperidad de un pueblo  ;Potter, David M.;estudio de la abundancia económica ...;1;1ra.;1965
La asignación de los recursos económicos.;Abramovitz, Moses;sin informacion;1;1ra.;1964
Economía  ;Beker, Víctor Alberto;elementos de micro y macroeconomía.;14;2da.;2000
Resoluciones técnicas nros.4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18 y 19(F.A.C.P.C.E.);sin informacion;sin informacion;1;1ra.de.;2001
Sistemas administrativos.;Magdalena, Fernando G;sin informacion;3;3ra.;1996
Administración  ;Koontz, Harold;una perspectiva global.;14;11ra.;2001
Matemáticas comerciales.;Jimenez Blasco, Miguel;sin informacion;1;1ra.;1989
La gestión presupuestaria.;Lavolpe, Antonio;sin informacion;4;1ra.;2000
Administración.;Robbins, Stephen P;sin informacion;10;8va.;2005
Qué es la admistración.;Larocca, Héctor A;sin informacion;11;2da.;2001
Resoluciones técnicas emeitidas por la FACPCE  ;sin informacion;texto ordenado versión oficial a Julio 2001, Incluye las RT 16, 17, 18 y modificaciones ... RT 19.;10;1ra.;2001
Introducción a la contabilidad superior.;Rodríguez, Roberto Mario;sin informacion;3;3ra.;1999
Derecho administrativo.;Dromi, Roberto;sin informacion;1;4ta.;1995
Humanismo económico y tecnología científica  ;Di Marco, Luis Eugenio;bases para la refundación del análisis económico.;4;1ra.;1999
Humanismo económico y tecnología científica  ;Di Marco, Luis Eugenio;bases para la refundación del análisis económico.;3;1ra.;1999
La política, la economía el hombre  ;Di Marco, Luis Eugenio;fundamentos para construir una sociedad antropocéntrica.;3;1ra.;1999
Contribuciones al estudio de la economía  ;Di Marco, Luis Eugenio;ensayos, comunicaciones e informes.;1;1ra.;1998
Contribuciones al estudio de la economía  ;Di Marco, Luis Eugenio;ensayos, comunicaciones e informes.;1;1ra.;1998
Suplemento normas contables  ;Sánchez Brot, Luis E;resoluciones técnicas (F.A.C.P.C.E)4 AL 19.;3;1ra.;2001
Manual de auditoría  ;Lattuca, Antonio Juan;informe 5.;5;9na.;2001
Impuesto a las ganancias  ;Reig, Enrique Jorge;estudio teórico-práctico de la ley argentina a la luz de la teoría general del impuesto a la renta.;6;10ma.;2001
Impuestos internos.;Gurfinkel De Wendy, Lilian N;sin informacion;5;2da.;2001
Derechos y defensas del contribuyente frente al fisco.;Soler, Osvaldo H;sin informacion;1;sin informacion;2001
El impuesto de sellos.;Soler, Osvaldo H;sin informacion;2;1ra.;2001
Impuesto al valor agregado  ;Fenochietto, Ricardo;análisis económico, técnico y jurídico.;1;1ra.;2001
Impuesto al valor agregado  ;Marchevsky, Rubén Alberto;Análisis integral.;2;2da.;2002
Manual práctico del contador  ;Zaglul, Carlos S.;societario, concursos y quiebras laboral y previsional impositivo.;2;5ta.;2001
Teoría práctica laboral.;Zaglul, Carlos S;sin informacion;2;sin informacion;1999
La ejecución fiscal federal.;Carranza Torres, Luis R.;sin informacion;1;1ra.;2001
El convenio multilateral  ;Althabe, Mario Enrique;análisis teórico y aplicación práctica.;3;1ra.;2001
Sumarios de jurisprudencia judicial  ;Guzmán, Laura A;procedimiento tributario.;1;1ra.;2000
Evaluación de proyectos.;Baca Urbina, Gabriel;sin informacion;4;4ta.;2000
Administración de pequeñas empresas  ;Longenecker, Justin G;un enfoque emprendedor.;2;11ra.;2001
Sistemas de información contable l.;Barroso De Vega, Alicia;sin informacion;10;1ra.;2001
Fundamentos de finanzas corporativas.;Ross, Stephen A;sin informacion;1;5ta.;2001
Administración de recursos humanos.;Maristany, Jaime;sin informacion;11;1ra.;2000
Manual de contabilidad gubernamental.;Ale, Miguel Ángel;sin informacion;16;4ta.;2001
Economía internacional  ;Krugman, Paul R;teoría y política.;3;5ta.;2001
Cuestiones contables fundamentales  ;Fowler Newton, Enrique;considera las resoluciones técnicas de la FACPCE números 16 a 19 ...;11;3ra.;2001
Teoría contable aplicada.;Pahlen Acuña, Ricardo J.M.;sin informacion;20;1ra.;2000
De la contabilidad a los sistemas de información contable en la Escuela Media.;Tasca, Eduardo Luis;sin informacion;10;1ra.;2000
Instrumental para el estudio de la economía argentina.;Ferrucci, Ricardo Jorge;sin informacion;7;9na.;2002
Lecciones preliminares de filosofía.;Garcia Morente, Manuel;sin informacion;1;6a. ;1957
Politeia.;Garcia Venturini, Jorge L.;sin informacion;1;1a.;1978
Curso de filosofía  ;Jolivet, Regis;Tratado completo.;1;1a.;1982
Transporte  ;sin informacion;Bibliografía.;1;sin informacion;1981
Censo Nacional de Población y Vivienda 1980.Serie C Vivienda  ;sin informacion;Departamentos y Localidades.Republica Argentina.;1;sin informacion;1983
Principios de Administración.;Álvarez, Héctor Felipe;sin informacion;10;2da.;2000
Censo Nacional de Población y Vivienda 1980.Serie C Vivienda  ;sin informacion;Total del país por provincias.República Argentina.;3;sin informacion;1983
Censo Nacional de Población y Vivienda 1980.Serie C Vivienda  ;sin informacion;Departamentos y Localidades.República Argentina.;2;sin informacion;1983
Análisis de estados financieros.;Amat, Oriol;sin informacion;3;6ta.;2000
La valoración dinámica de capitales  ;Quirelli, Blanca N.I.;fundamentos y modelos básicos en universos deterministas.;7;1ra.;1997
Ratios sectoriales.;Amat, Oriol;sin informacion;2;1ra.;2000
Origen, detección y análisis de las necesidades de capacitación.;Blake, Oscar Juan;sin informacion;2;1ra.;2000
Gestión & costos  ;Gimenez, Carlos Manuel;beneficio creciente, mejora continua.;8;1ra.;2001
Censo Nacional de Población y Vivienda 1980. Serie A.Resultados Provicionales por localidad.;sin informacion;sin informacion;1;sin informacion;1981
Estimaciones y proyecciones de población 1950-2025.;sin informacion;sin informacion;1;sin informacion;1982
Censo Nacional de Población y Vivienda 1980. Serie D Población  ;sin informacion;Total del país por provincia, departamento y localidad.;3;1ra.;1980
Censo Nacional de Población, Familias y Viviendas 1970.;sin informacion;sin informacion;1;sin informacion;1973
Censo Nacional de Población y Vivienda 1980.Serie D Población  ;sin informacion;Total del País por provincia, departamento y Localidad.;1;sin informacion;1981
Censo Nacional de Población y Vivienda 1980 Serie B Características Generales  ;sin informacion;Provincia de Río Negro.;1;sin informacion;1981
Los Consejos económicos y sociales.;Herrera, Enrique;sin informacion;1;1a. ;1972
Cuaderno de Federalismo I.;sin informacion;sin informacion;1;1a. ;1988
La inmigración en la Argentina.;sin informacion;sin informacion;1;sin informacion;1979
La ciencia política.;Prélot, Marcel;sin informacion;1;19a. ;1996
Las ideas políticas en Argentina.;Romero, José Luis;sin informacion;1;sin informacion;1996
Introducción al estudio del ingreso nacional.;Gonzalez, Norberto;sin informacion;1;14ta.;1975
Introducción al estudio del ingreso nacional.;Gonzalez, Norberto;sin informacion;2;11a.;1972
Introducción al estudio del ingreso nacional.;Gonzalez, Norberto;sin informacion;5;18a.;1982
Código de comercio.;sin informacion;sin informacion;1;sin informacion;2001
Código de Comercio.;sin informacion;sin informacion;2;sin informacion;2002
Código Civil.;sin informacion;sin informacion;1;1ra.;2001
Código civil.;sin informacion;sin informacion;3;1ra.;2002
La tercera ola.;Toffler, Alvin;sin informacion;1;13ra. ;1997
Diseño de organizaciones eficientes.;Mintzberg, Henry;sin informacion;3;2da. ;2001
Cuadro de mando integral.;Kaplan, Robert S.;sin informacion;3;2da.;2000
Feedback de 360º.;Lévy-Leboyer, Claude;sin informacion;1;1ra.;2000
Capital humano  ;Davenport, Thomas O;creando ventajas competitivas a través de las personas.;2;1ra.;2000
La medición de un equipo  ;Bader, Gloria E;Guía práctica para encontrar claves del éxito.;1;sin informacion;1999
Inversión en proyectos autofinanciados  ;Pérez De Errasti, Ignacio;project Finance.;1;1ra.;2001
Innovación financiera  ;Mascareñas Pérez Iñigo, Juan;Aplicaciones para la gestión empresarial.;2;sin informacion;1999
Tratamiento tributario  ;Hansen, Leonardo H;fideicomisos financieros.;1;1ra.;2000
Marketing  ;Santesmases Mestre, Miguel;conceptos y estrategias.;3;1ra.;2001
La Reforma del Estado  ;sin informacion;Enfoques Renovadores.;1;sin informacion;1985
Tres estudios argentinos.;Siegrist De Gentile, Nora L.;sin informacion;2;2da.;1982
Economía.;Guthrie, John;sin informacion;1;sin informacion;1963
Anales de la Asociación Argentina de Economía política  ;sin informacion;XIV Reunión Anual.;1;sin informacion;1979
Curso de economía moderna  ;Samuelson, Paul Anthony;Una descripción analítica de la realidad económica.;1;6ta.;1958
Instrumental para el estudio de la economía Argentina.;Ferrucci, Ricardo Jorge;sin informacion;1;1ra.;1986
Cómo hacer una cooperativa.;Taleva Salvat, Orlando;sin informacion;1;5ta.;2000
Diccionario terminológico de Economía, Administración y Finanzas.;Suárez Suárez, Andrés S.;sin informacion;1;sin informacion;2000
Derecho de las sociedades comerciales.;Villegas, Carlos Gilberto;sin informacion;9;9na.;2001
Introducción al estudio del ingreso nacional.;Gonzalez, Norberto;sin informacion;2;3ra.aum. y corr.;1964
Contabilidad, Administración y Economía.;López Santiso, Horacio;sin informacion;1;sin informacion;2001
Presupuestos, costos y decisiones de Empresas Agropecuarias.;Arce, Hugo Santiago;sin informacion;1;sin informacion;1999
Administración, gestión y control de Empresas Agropecuarias.;Arce, Hugo Santiago;sin informacion;1;sin informacion;1996
La economía argentina explicada.;Gil, Oscar;sin informacion;1;sin informacion;1998
El comercio electrónico y sus efectos en las relaciones tributarias internacionales  ;Díaz, Vicente Oscar;La reformulación del concepto de establecimiento permanente.;1;sin informacion;2001
Introducción a las finanzas  ;Keown, Arthur J.;La práctica y la lógica de la administración financiera.;1;2da.;1999
El desafio de exportar  ;Campana, Enzo;Una visión clara y renovadora de las herramientas básicas para conquistar los mercados internacionales.;1;sin informacion;2001
Management y finanzas de la empresas promotoras-constructoras.;Montserrat Casanovas, Ramón;sin informacion;2;3ra. ;2001
Aseguramiento de calidad Iso 9000.;Folgar, Oscar F.;sin informacion;1;1ra.;1996
Manual de los costos de la calidad.;Helouani, Rubén;sin informacion;1;1ra.;1999
Ensayo metodológico de aplicación práctica fundamentada  ;Chilkowski, Oscar Daniel;Las cuentas como instrumentos del procesamiento contable.;2;sin informacion;[19--]
Teoría de la organización.;March, James G.;sin informacion;1;3ra.;1977
Teoría y política del desarrollo económico.;Furtado, Celso;sin informacion;2;2da.;1969
Manual para agentes de retención e información.;Guastavino, Luis María;sin informacion;3;sin informacion;1975
Plan Nacional de Cultura 1984-1989.;sin informacion;sin informacion;1;sin informacion;1984
Estadística y econometría.;Novales Cinca, Alfonso;sin informacion;1;sin informacion;1997
Estadística elemental.;Johnson, Robert;sin informacion;1;sin informacion;1991
Introducción al estudio del derecho.;Recasens Siches, Luis;sin informacion;5;7ma. ;1985
Contabilidad de Costos  ;Neuner, John W.;Principios y práctica.;2;sin informacion;1966
Contabilidad de costos  ;Neuner, John W.;Principios y práctica.;14;2da.;1976
Contabilidad de costos  ;Neuner, John W.;Principios y práctica.;4;sin informacion;1967
Contabilidad de costos  ;Neuner, John W.;Principios y practica.;10;2da.;1979
Indignidad y desheredación.;Poviña, Horacio L.;sin informacion;1;sin informacion;1965
La empresa del tercer tipo  ;Archier, Georges;Una nueva concepción de la empresa.;1;sin informacion;1984
Tratado de auditoría.;Fowler Newton, Enrique;sin informacion;1;3ra. ;1980
Teoría y técnica de la administración.;Perel, Vicente L;sin informacion;4;2da. ;1977
Investigación motivacional  ;Zuloaga Palencia, Alberto;Sus métodos y sus técnicas.;3;sin informacion;1982
Programación, Organización y Control.;Newman, William H;sin informacion;1;5ta. ;1968
Marketing total.;Braidot, Néstor P;sin informacion;2;4ta. ;1994
Introducción a la teoría general de sistemas.;Johansen Bertoglio, Oscar;sin informacion;1;sin informacion;1985
Tratado de derecho civil Argentino  ;Borda, Guillermo A.;contratos.;2;3ra.;1974
Tratado de derecho civil  ;Borda, Guillermo A.;Parte general.;1;7ma. ;1980
Tratado de derecho civil  ;Borda, Guillermo A.;Parte general.;1;7ma.;1980
Estudio de la Universidad Nacional de Mar del Plata  ;sin informacion;Sociología de una Universidad Argentina.;1;sin informacion;1989
Jujuy Provincia Federal Argentina  ;Carrillo, Joaquín;Apuntes de su historia civil.;2;2da. ;1877
Geografía de la Provincia de Jujuy.;Saravia, Teodoro S.;sin informacion;1;sin informacion;1960
Del fracaso unitario al triunfo federal.;Galmarini, Hugo R;sin informacion;1;sin informacion;1977
Panorama del mundo actual.;George, Pierre;sin informacion;1;sin informacion;1970
Instituciones de derecho público.;Lozada, Salvador María;sin informacion;2;2da. ;1973
Instituciones de derecho público.;Lozada, Salvador María;sin informacion;1;2da. ;1973
Instituciones de derecho público.;Lozada, Salvador María;sin informacion;1;sin informacion;1966
Instituciones de derecho público.;Lozada, Salvador María;sin informacion;5;2da. ;1976
Indexación  ;Montamat, Daniel Gustavo;Técnica, naturaleza y distorsiones.;6;sin informacion;1982
Manual práctico de costos  ;Domínguez, Luis Martín;principios básicos.;2;sin informacion;1978
Análisis de balances ajustados por inflación.;Senderovich, Isaac Aizik;sin informacion;1;sin informacion;1981
Teoría monetaria.;Mundell, Robert A.;sin informacion;1;1ra.;1971
Derecho público provincial.;Pérez Guilhou, Dardo;sin informacion;1;sin informacion;1993
Impuesto al valor agregado.;Almarza, Alejandro;sin informacion;1;sin informacion;1995
Estudios en Honor de Pedro J. Frías.;sin informacion;sin informacion;1;sin informacion;1994
Estudios en Honor de Pedro J. Frías.;sin informacion;sin informacion;1;sin informacion;1994
Los indicadores economicos  ;Rodriguez, Alfredo C.;Cuáles son?Cómo se elaboran?Qué indican?;1;sin informacion;1994
Procedimiento tributario  ;Giuliani Fonrouge, Carlos M;Ley 11683(to 1978) Decreto reglamentario 1397/79.Comentarios, doctrina y jurisprudencia.;5;2da.;1981
El impuesto de sellos  ;Soler, Osvaldo H;Análisis doctrinario,legislativo y jurisprudencial.;1;sin informacion;1980
Introducción a la inferencia estadística.;Freeman, Harold;sin informacion;1;sin informacion;1982
Regularización impositiva.;Marino, Alberto Oscar;sin informacion;2;1ra.;1973
VII Seminario interamericano de presupuesto  ;sin informacion;Ponencias. Concluisones. Recomendaciones.;1;sin informacion;1979
Normas para la confección de los presupuestos provinciales.;sin informacion;sin informacion;1;1ra.;1980
El ilicito tributario en la Ley ll683 (t.o. en 1978);Fernandez De La Puente, Elena D.;sin informacion;4;sin informacion;1980
Dinero y capital en el desarrollo económico.;Mckinnon, Ronald I.;sin informacion;1;sin informacion;1974
El proceso de integración en América Latina en 1986.;sin informacion;sin informacion;1;sin informacion;1986
El SELA  ;sin informacion;Presente y futuro de la cooperación económica intralatinoamericana.;1;sin informacion;1986
Congreso Argentino de Derecho Societario.;sin informacion;sin informacion;1;1ra.;2004
Indice de artÍculos sobre materias jurídicas institucionales y políticas de las publicaciones períodicas del INTAL.;sin informacion;sin informacion;1;sin informacion;1985
Ordenamiento jurídico de la integración económica regional en América Latina  ;sin informacion;CARICOM-SELA-Cuenca del Plata.Cooperación Amazónica.;1;sin informacion;1986
El proyecto de formación del cuerpo de administradores gubernamentales.;Groisman, Enrique I.;sin informacion;1;sin informacion;1988
Jujuy en cifras 1999.;sin informacion;sin informacion;1;sin informacion;1999
Estadística general aplicada.;Croxton, Frederick E.;sin informacion;2;sin informacion;1959
Derecho de las obligaciones.;Trigo Represas, Félix A;sin informacion;2;2da. ;1975
Derecho de las obligaciones.;Trigo Represas, Felix A.;sin informacion;2;2da. ;1975
Derecho de las obligaciones.;Trigo Represas, Félix A;sin informacion;2;2da. ;1975
Derecho de las obligaciones.;Trigo Represas, Félix A;sin informacion;2;2da. ;1975
Temas de matemática financiera.;Roccatagliata, Héctor;sin informacion;1;2da. ;1969
El presidente ciego.;Safire, William;sin informacion;1;1ra.;1977
Transformaciones socio-laborales en tiempos de convertibilidad  ;Marcoleri, María Elena;Empleo, desempleo, pobreza y migraciones en Jujuy.;2;1ra.;2001
Resoluciones Técnicas vigentes 4 a 20 Comentadas  ;Gelso, Aldo;Ajuste por inflación. Análisis. Casos Prácticos.;6;6ta.;2002
Interpretación y análisis de estados contables.;Biondi, Mario;sin informacion;6;5ta.  amp.;1996
Cursogramas  ;Klein, Miguel Jorge;técnicas y casos.;4;5ta.;1998
Impuesto al valor agregado  ;Benchimol, Mariano;Análisis integral.;1;3ra. ;2001
Convenio multilateral  ;Grenabuena, Silvia R.;Análisis-Legislación-Casos Prácticos.;1;5ta. ;2003
sin informacion;sin informacion;sin informacion;1;sin informacion;[19--]
Impuesto sobre los débitos y créditos en cuenta corriente bancaria  ;Collosa, Alfredo;Análisis técnico-práctico.;1;sin informacion;2001
Actuación profesional judicial.;Fronti De García, Luisa;sin informacion;2;sin informacion;1998
Manual práctico de Sociedades anónimas.;Zaglul, Carlos S;sin informacion;2;3ra. ;1997
La modernización excluyente  ;Barbeito, Alberto C.;Transformación económica y Estado de Bienestar en Argentina.;1;2da. ;1995
Práctica Profesional del Contador : Tomo I;Fronti De García, Luisa;sin informacion;3;sin informacion;1994
Práctica Profesional del contador  ;Fronti De García, Luisa;Tomo II.;3;sin informacion;1994
Liquidación de los impuestos a las ganacias, sobre los bienes personales y a la ganancia mínima presunta  ;Grenabuena, Silvia R;personas físicas-sociedades.;1;1ra.;2003
La microempresa en la Argentina  ;Alurralde, Aldo Mario;Tres perspectivas de análsis.;1;sin informacion;2003
Leasing  ;Malumián, Nicolás;Análisis legal, fiscal y contable.;1;sin informacion;2000
Introducción a las computadoras y a los sistemas de información.;Long, Larry;sin informacion;7;5ta.;1999
Elementos de administración.;Koontz, Harold;sin informacion;5;5ta.;1997
Contrato de trabajo  ;Etala, Carlos Alberto;Ley 20744.;2;4ta.;2002
Procedimiento tributario  ;Gómez, Teresa;Ley 11.683.Decreto 618/97.;1;sin informacion;2003
Administración.;Hampton, David R;sin informacion;1;3ra.;2001
Geometría analítica plana y del espacio.;Kindle, Joseph H.;sin informacion;6;1ra.;1994
Principios de microeconomía.;Mankiw, N. Gregory;sin informacion;3;1ra.;2000
Informe Schuster  ;Schuster, Frederick E.;ambiente de trabajo y productividad.;2;1ra.;1992
Gestión competitiva de stocks y procesos de producción.;Cuatrecasas, Lluís;sin informacion;2;1ra.;c1998
1001 formas de recompensar a los empleados.;Nelson, Bob;sin informacion;1;1ra.;2000
Recursos humanos.;Aquino, Jorge A;sin informacion;1;2da.;2001
Fingame PC  ;Brooks, Le Roy D.;manual del participante.;1;1ra.;1996
Método de casos en el estudio de las finanzas.;Butters, J.Keith;sin informacion;1;1ra.;1999
Procedimiento fiscal.;Buitrago, Ignacio J.;sin informacion;4;1ra.;2001
Competencia y monopolio  ;Dromi, Roberto;Argentina, MERCOSUR y OMC.;1;1ra.;1999
Presunciones y ficciones en el derecho tributario.;Navarrine, Susana Camila;sin informacion;1;2da.;2000
Estrategia y sistemas de información.;Andreu, Rafael;sin informacion;3;2da.;2001
Rehabilitación financiera de empresas.;Ramirez Y Cepeda, Enrique;sin informacion;1;1ra.;1988
El impuesto a las ganancias.;Raimondi, Carlos A.;sin informacion;1;3ra.;2000
Manual de derecho civil  ;Borda, Guillermo A;parte general.;9;20ra.;2003
Tratado de derecho civil  ;Borda, Guillermo A;parte general.;8;20ra.;2003
Tratado de derecho civil  ;Borda, Guillermo A;parte general.;8;20ra.;2003
Análisis multivariante.;Hair, Joseph F.;sin informacion;5;5ta.;2001
Derecho constitucional tributario  ;Spisso, Rodolfo R;principios constitucionales del gasto público ...;1;2da.;2000
Justificación de las variaciones patrimoniales  ;Moure, Graciela Cristina;impuesto a las ganancias.;1;1ra.;2000
Finanzas públicas y derecho tributario.;Jarach, Dino;sin informacion;9;3ra.;2003
Impuesto a las ganancias.;Giuliani Fonrouge, Carlos M;sin informacion;1;3ra.;1996
Principio de finanzas corporativas.;Brealey, Richard A.;sin informacion;1;5ta.;c1998
El impuesto a las ganancias  ;Raimondi, Carlos A.;actualización al 30/03/2001.;2;3ra.;2001
Procedimiento tributario y de la seguridad social.;Giuliani Fonrouge, Carlos M;sin informacion;1;8va.;2001
Derecho financiero.;Giuliani Fonrouge, Carlos M.;sin informacion;1;7ma.;2001
Derecho financiero.;Giuliani Fonrouge, Carlos M.;sin informacion;1;7ma.;2001
Derecho tributario  ;Garcia Vizcaino, Catalina;consideraciones económicas y jurídicas. Análisis de la legislación, doctrina y jurisprudencia.;1;2da.;1999
Derecho tributario  ;Garcia Vizcaino, Catalina;parte general.;1;2da.;2000
Derecho tributario  ;García Vizcaino, Catalina;parte especial.;1;2da.;2002
Matemáticas financieras.;Ayres, Frank;sin informacion;9;1ra.;2001
Estrategia competitiva  ;Porter, Michael E.;técnicas pra el análisis de los sectores industriales y de la competencia.;3;rev.;2000
Estadística para investigadores  ;Box, George E.P.;introducción al diseño de experimentos, análisis de datos y construcción de modelos.;2;1ra.;2001
Computación para contadores  ;Schiavinato, Eduardo;técnicas y recursos para el uso intensivo de la PC.;2;1ra.;2000
Sistemas contables.;Chaves, Osvaldo A.;sin informacion;6;1ra.;2001
Contabilidad y gestión  ;Herrscher, Enrique G.;un enfoque sistemático de la información para la acción.;1;1ra.;2002
Investigación de operaciones en la ciencia administrativa.;Eppen, G.D.;sin informacion;1;5ta.;2000
Antioxido  ;Bilancio, Guillermo;claves para crear el futuro de la empresa.;4;1ra.;2001
Dirigir en el filo de la navaja  ;Pascale, Richard Tanner;cómo las empresas de éxito utilizan el conflicto para permanecer en cabeza.;5;1ra.;1995
Curso de finanzas, derecho financiero y tributario.;Villegas, Héctor Belisario;sin informacion;2;8va.;2002
Decisiones empresariales con riesgo e incertidumbre.;Soldevilla García, Emilio;sin informacion;1;1ra.;1984
Inversión y mercado de capitales.;Soldevilla García, Emilio;sin informacion;3;1ra.;1990
