autor;titulo_libro;subtitulo_libro;cantidad_ejemplar;libro_edicion;año_publicacion;biblioitemnumber
"Cardenas, Eduardo";"En camino a la democracia politica : ";1904-1910.;1;1ra.ed.;1980.;62
"Garo, Francisco J";"Sociedades anónimas.";;1;1ra.ed.;1954.;63
"Garo, Francisco J";"Sociedades anónimas.";;1;1ra.ed.;1954.;64
"Carretero, Andrés M.";"La santa federación : ";1840-1850.;1;1ra.ed.;1979.;65
"Carretero, Andrés M.";"Orden, paz, entrega : ";1880-1886.;1;1ra.ed.;1977.;66
"Castro, Juan Pedro";"Leyes impositivas actualizadas.";;1;1ra.ed.;1967.;67
"Castro, Juan Pedro";"Leyes impositivas actualizadas : ";"suplemento de actualización.";1;1ra.ed.;1987.;68
"Castro, Juan Pedro";"Evolución del impuesto a los réditos : ";"periódo 1956-1968";3;2da.ed.;1969;69
"Castro, Juan Pedro";"Evolución del impuesto de los réditos : ";"período 1956-1969";3;2da.ed.;1969.;70
"Cena, Juan Carlos";"Ensayos sobre monetización e inflación.";;1;1ra.ed.;1983.;71
"Coria, Luis Alberto";"Evolución económica de Mendoza en la época colonial.";;1;1ra.ed.;1988.;72
"Cline, William R";"Informática y desarrollo : ";"política comercial e industrial en la Argentina, Brasil y México.";2;1ra.ed.;1987.;73
"Dobb, Maurice";Salarios.;;5;3ra.ed.;1973.;74
"Nieto Blanc, Ernesto E";"Curso de derecho civil.";;2;1ra.ed.;1981.;75
"Chianelli, Trinidad Delia";"El gobierno de los pueblos : ";1862-1868.;1;1ra.ed.;1980.;76
"Dagna, Conrado";"Tablas financieras.";;1;1ra.ed.;1978.;77
"Delich, Francisco";"Los problemas, objetivos y subjetivos de la consolidación de la democracia.";;1;1ra.ed.;1988.;78
"Diaz, Vicente Oscar";"Impuesto de sellos : ";"Aspectos económicos y jurídicos.";2;1ra.ed.;1976.;79
"Di Pasquale, Pascual D.";"Computación para contadores y empresarios.";;2;1ra.ed.;1979.;80
"Dupuis, Michel";"La consolidación de balances.";;1;1ra.ed.;1969.;81
"Feijoo, Eudaldo";"Diagrama comprarativo : ";"normas contables.";1;1ra.ed.;1980.;82
"Le Goff, Jacques";"Mercaderes y banqueros de la edad media.";;1;7ma.ed.;1975.;83
"Fernandez Pol, Jorge Eduardo";"Lecciones de programación no lineal.";;2;1ra.ed.;1980.;84
"Ferrari, Gustavo";"Apogeo y crisis del liberalismo : ";1886-1890.;1;1ra.ed.;1978.;85
"Ferrero, Roberto A.";"Del fraude a la soberanía popular : ";1938-1946.;1;1ra.ed.;1980.;86
"Fowler Newton, Enrique";"Análisis de estados contables.";;1;1ra.ed.;1990.;87
"Fowler Newton, Enrique";"Contabilidad básica.";;20;1ra.ed.;1982.;88
"Fowler Newton, Enrique";"Contabilidad con inflación.";;3;1ra.ed.;1980.;89
"Fresco, Juan Carlos";"El plan de cuentas como sistema integral.";;9;1ra.ed.;1978.;90
"Fassi, Santiago C";"Concursos : ";"comentario exegético de la Ley 19551 con las reformas de la Ley 22.917 y jurisprudencia actualizada.";1;3ra.ed.;1989.;91
"Galindez, Oscar A.";"Verificación de créditos.";;2;1ra.ed.;1990.;92
"Bouilly, Víctor";"El interregno de los lomonegros";1830-1835;1;1ra.ed.;1977.;93
"Gasio, Guillermo H.";"La conquista del progreso : ";1874-1880.;1;1ra.ed.;1977.;94
"Gianneschi, Mario Atilio";"Amortización de deudas y costos financieros.";;2;1ra.ed.;1980.;95
"Giuliani Fonrouge, Carlos M";"Procedimiento tributario : ";"ley 11683 (t.o. 1978) Decreto reglamentario 1397/79.";2;1ra.ed.;1984.;96
"Giuliani Fonrouge, Carlos M";"Derecho financiero.";;3;3ra.ed.;1977.;97
"González Gale, José";"Elementos de cálculo actuarial.";;2;5ta.ed.;1977.;98
"Guglianone, Aquiles H";"El descendiente desheredado.";;2;1ra.ed.;1958.;99
