autor;titulo_libro;subtitulo_libro;cantidad_ejemplar;libro_edicion;año_publicacion;biblioitemnumber
"Henderson, James M";"Teoría microeconómica : ";"una aproximación matemática.";2;3ra.ed.;1985.;1763
"Fernández Pol, Jorge Eduardo";"Economía teórica : ";"temas para reflexionar.";1;2da.ed.;1983.;1764
"Friedman, Milton";"Tyranny of the status quo.";;1;1ra.ed.;c1984.;1765
"Dornbusch, Rudiger";Macroeconomía.;;6;3ra.ed.;1986.;1766
"Sachs, Jeffrey D";"Macroeconomía en la economía global.";;2;1ra.ed.;1994.;1767
"Koutsoyiannis, A";"Microeconomía moderna.";;8;1ra.ed.;1985.;1768
"Toffler, Alvin";"La tercera ola.";;1;9na.ed.;1984.;1769
"Varian, Hal R";"Análisis microeconómico.";;5;1ra.ed.;1992.;1770
"Lajugie, Joseph";"Los sistemas económicos.";;18;18va.ed.;1986.;1771
"Lajugie, Joseph";"Los sistemas económicos.";;9;19na.ed.;1987.;1772
"Lajugie, Joseph";"Los sistemas económicos.";;1;20ma.ed.;1987.;1773
"Lajugie, Joseph";"Los sistemas económicos.";;4;25ta.ed.;1994.;1774
"Giordano, Osvaldo";"Riesgos del trabajo : ";"la modernización de las instituciones laborales.";1;1ra.ed.;1996.;1775
"Giordano, Osvaldo";"Riesgos del trabajo : ";"la modernización de las instituciones laborales.";1;1ra.ed.;1996.;1776
"Johnston, Jack";"Método de econometría.";;2;3ra.;1980.;1777
;"Un trabajo para todos : ";"empleo y desempleo en la Argentina.";2;1ra.ed.;1997.;1778
"Donnelly, Austín S.";"The Three Rs of investing : ";"return, risk and relativity.";1;1ra.ed.;1985.;1779
"Heckscher, Charles";"El nuevo sindicalismo : ";"la participación del trabajador.";1;1ra.ed.;[19--].;1780
"Roll, Eric";"Historia de las doctrinas económicas.";;3;1ra.ed.;1984.;1781
"Meade, James Edward";"El balance de pagos.";;3;1ra.ed.;1976.;1782
"Porto, Guido G.";"Ahorro e inversión en el proceso de crecimiento económico.";;1;1ra.ed.;1996.;1783
"Crosse, Howard D.";"Administración bancaria.";;1;1ra.ed.;1984.;1784
"Lerner, Abba P.";"Map : ";"amarket anti-inflation.";1;1ra.ed.;1982.;1785
"Fernandez Pol, Jorge Eduardo";"Inflación recesiva : ";"una aproximación microeconómica.";1;1ra.ed.;1982.;1786
"Santangelo, Rodolfo Arturo M.";"Política cambiaria y crecimiento.";;1;1ra.ed.;1986.;1787
;"La economía social en la argentina y el mundo.";;1;1ra.ed.;1988.;1788
;"Universidad y cooperativismo.";;1;1ra.ed.;1985.;1789
"Carracedo, Orlando";"Economía social agraria : ";"teoría y acción del cooperativismo en el ambito rural.";1;1ra.ed.;1984.;1790
"Lavin Higuera, Javier";"Cómo pronosticar la devaluación con exactitud : ";"el caso México.";1;1ra.ed.;1984.;1791
"Jarach, Dino";"Finanzas públicas y derecho tributario.";;5;1ra.ed.;1985.;1792
"Jarach, Dino";"Finanzas públicas y derecho tributario.";;1;2da.ed.;1996.;1793
"Martín, José María";"Introducción a las finanzas públicas.";;1;1ra.ed.;1985.;1794
"Due, John F";"Análisis económico de los impuestos y del sector público.";;2;7ma.ed.;1990.;1795
"Ale, Miguel Ángel";"Manual de contabilidad gubernamental.";;5;1ra.ed.;1994.;1796
"Atchabahian, Adolfo";"Curso de contabilidad pública.";;16;2da.ed.;1985.;1797
"Atchabahian, Adolfo";"Régimen jurídico de la gestión y el control en la hacienda pública.";;13;1ra.ed.;1996.;1798
"Díaz Sieiro, Horacio P";"Procedimiento tributario : ";"ley 11683.";3;1ra.ed.;1993.;1799
"Edwards, Carlos Enrique";"Regimen penal tributario : ";"ley 23771.";2;2da.ed.;1993.;1800
"Díaz, Vicente Oscar";"La seguridad jurídica en los procesos tributarios.";;2;1ra.ed.;1994.;1801
"Dalmasio, Adalberto Raúl";"Nuevo ajuste impositivo por inflación.";;3;2da.ed.;1987.;1802
"Calcagno, Alfredo Eric";"Estructura y funciones actuales de los organismos internacionales, finacieros y económicos.";;2;1ra.ed.;1993.;1803
"Giuliani Fonrouge, Carlos M";"Procedimiento tributario .";;5;6ta.ed.;1993.;1804
"García Vizcaino, Catalina";"El procedimiento ante el Tribunal Fiscal de la Nación y sus instancias superiores : ";"Análisis teórico práctico de la legislación, doct. y jurisp.";2;1ra.ed.;1986.;1805
"Martner, Gonzalo";"Planificación y presupuesto por programas.";;1;11ra.ed.;1979.;1806
;"Sistema financiero internacional : ";"discursos y documentos técnicos.";2;1ra.ed.;1989.;1807
"Celdeiro, Ernesto Carlos";"Procedimiento tributario : ";"análisis teórico-práctico de la Ley 11683.";3;5ta.ed.;1992.;1808
"Celdeiro, Ernesto Carlos";"Procedimiento tributario : ";"análisis teórico-práctico de la Ley 11683.";3;5ta.ed.;1992.;1809
"Celdeiro, Ernesto Carlos";"Procedimiento tributario : ";"análisis teórico-práctico de la Ley 11683.";1;3ra.ed.;1992.;1810
"Ángel, Dionisio A";"Teoría de la tributación.";;3;1ra.ed.;1985.;1811
"Bulit Goñi, Enrique G";"Impuesto sobre los ingresos brutos.";;3;1ra.ed.;1986.;1812
"García Belsunce, Horacio A";"Temas de derecho tributario.";;6;1ra.ed.;1982.;1813
;"Impuestos nacionales 1991.";;1;1ra.ed.;1991.;1814
;"Impuestos nacionales 19 : ";"y de las provincias de Buenos Aires, Córdoba, Entre Ríos, Mendoza, Santa Fé y Tucumán ...";4;1ra.ed.;1987.;1815
;"Impuestos nacionales 1982.";;2;1ra.ed.;1982.;1816
;"Impuestos nacionales 18.";;6;1ra.ed.;1985.;1817
;"Impuestos nacionales 18.";;5;1ra.ed.;1985.;1818
"Castro, Juan Pedro";"Impuesto sobre los beneficios eventuales.";;1;1ra.ed.;1983.;1819
"Castro, Juan Pedro";"Reforma tributaria 1985/86.";;8;1ra.ed.;1986.;1820
;"ERREPAR consultor de legislación, jurisprudencia y doctrina : ";"impuestos provinciales.";1;1ra.ed.;1994.;1821
;"ERREPAR consultor de legislación, jurisprudencia y doctrina : ";"impuestos provinciales.";1;1ra.ed.;1994.;1822
;"ERREPAR consultor de legislación, jurisprudencia y doctrina : ";"valor agregado.";1;1ra.ed.;1994.;1823
;"ERREPAR consultor de legislación, jurisprudencia y doctrina : ";"valor agregado.";1;;1994.;1824
;"ERREPAR consultor de legislación, jurisprudencia y doctrina : ";"impuesto a las ganancias.";1;1ra.ed.;1994.;1825
;"ERREPAR consultor de legislación, jurisprudencia y doctrina : ";"impuesto a las ganancias.";1;1ra.ed.;1994.;1826
;"ERREPAR consultor de legislación, jurisprudencia y doctrina : ";"impuesto a las ganancias.";1;1ra.ed.;1994.;1827
;"ERREPAR consultor de legislación, jurisprudencia y doctrina.";;1;1ra.ed.;1994.;1828
;"ERREPAR consultor de legislación, jurisprudencia y doctrina.";;1;1ra.ed.;1994.;1829
;"ERREPAR consultor de legislación, jurisprudencia y doctrina : ";"impuestos nacionales.";1;1ra.ed.;1994.;1830
;"ERREPAR consultor de legislación, jurisprudencia y doctrina : ";"impuestos nacionales.";1;1ra.ed.;1994.;1831
;"ERREPAR consultor de legislación, jurisprudencia y doctrina : ";"agenda impositiva.";2;1ra.ed.;1994.;1832
;"ERREPAR consultor de legislación, jurisprudencia y doctrina : ";"regímenes especiales.";1;1ra.ed.;1994.;1833
;"ERREPAR consultor de legislación, jurisprudencia y doctrina : ";"impuestos patrimoniales.";1;1ra.ed.;1994.;1834
"Reig, Enrique Jorge";"Impuesto a las ganancias : ";"estudio teórico práctico de la ley argentina a la luz de la teoría general del impuesto a la renta.";3;8va.ed.;1991.;1835
"Reig, Enrique Jorge";"Impuesto a las ganancias, estudio teórico práctico de la ley argentina a la luz de la teoría general del impuesto a la renta.";;2;9na.ed.;1991.;1836
"Drohobycki, Marta Beatriz";"Impuesto a las ganancias, doctrina y práctica.";;2;1ra.ed.;1993.;1837
;"Reforma fiscal y crecimiento económico, discursos y documentos técnicos.";;2;1ra.ed.;1989.;1838
"Soler, Osvaldo H";"Nuevo proceso penal tributario.";;1;1ra.ed.;1992.;1839
"Mc Ewan, Héctor C.";"Impuesto al valor agregado : ";"análisis integral.";3;3ra.ed.;1987.;1840
"Manassero, Carlos J";"Impuestos sobre los capitales : ";"ley 21287.";3;1ra.ed.;1986.;1841
"Juano, Manuel De";"Anteproyecto de código tributario interamericano.";;3;1ra.ed.;1984.;1842
"Navarrine, Susana Camila";"Presunciones y ficciones en el derecho tributario : ";"doctrina, legislación y jurisprudencia.";4;1ra.ed.;1985.;1843
"Martin, José María";"Derecho tributario procesal.";;1;1ra.ed.;1987.;1844
"Martin, José María";"Derecho tributario general.";;2;1ra.ed.;1986.;1845
"Martin, José María";"Derecho tributario general.";;1;2da.ed.;1995.;1846
"Claval, Paul";"Geografía económica.";;2;;1980.;1847
"Gonzalez, Daniel Marcelo";"Reestructuración de la banca oficial : ";"una propuesta de cambio.";1;1ra.ed.;1991.;1848
"Giuliani Fonrouge, Carlos M";"Impuesto a la circulación económica : ";"sellos.Textos ordenados 1981 de la Ley 22364 y reglamento.Comentarios.Doctrina.Jurisprudencia.";3;1ra.ed.;1981.;1849
"Berz, Cristina Noemí";"Deuda externa : ";"optimización de recursos.";1;1ra.ed.;1990.;1850
"Giuliani Fonrouge, Carlos M.";"Tasas judiciales : ";"ley 21859, comentada y anotada con doctrina y jurisprudencia.";3;1ra.ed.;1982.;1851
"Castro, Juan Pedro";"Impuesto al valor agregado actualizado al 30 de marzo de 1982.";;1;1ra.ed.;1982.;1852
"Bonacina, César A.";"El ahorro en la Argentina.";;1;1ra.ed.;1982.;1853
"Dorfman, Adolfo";"Historia de la industria en la Argentina.";;8;2da.ed.;1982.;1854
"Kosacoff, Bernardo";"La industria Argentina : ";"desarrollo y cambios estructurales.";1;1ra.ed.;1989.;1855
;"Informe argentino sobre desarrollo humano 1995.";;1;1ra.ed.;1995.;1856
;"Informe argentino sobre desarrollo humano 1996.";;1;1ra.ed.;1996.;1857
;"Informe argentino sobre desarrollo humano en la provincia de Buenos Aires 1996.";;1;1ra.ed.;1996.;1858
"Torres Lacroze, Federico A.";"Manual de introducción al derecho.";;15;1ra.ed.;1983.;1859
"Lago, Armando V";"Teoría de los precios.";;1;1ra.ed.;1982.;1860
"Kliksberg, Bernardo";"¿Cómo enfrentar la pobreza? : ";"aportes para la acción.";3;2da.ed.;1992.;1861
"Kliksberg, Bernardo";"Pobreza : ";"un tema impostergable.";3;1ra.ed.;1993.;1862
"Garcia Valdez, Ernesto";"Derecho y filosofía.";;1;1ra.ed.;1985.;1863
"Quiroga Lavié, Humberto";"Los derechos públicos subjetivos y la participación social.";;1;1ra.ed.;1985.;1864
"Nino, Carlos Santiago";"Fundamentos de derecho constitucional : ";"análisis filosófico,jurídico y politológico de la práctica constitucional.";2;1ra.ed.;1992.;1865
"Pérez Guilhou, Dardo";"Derecho público provincial.";;1;1ra.ed.;1991.;1866
"Hoffe, Otfried";"Estudio sobre teoría del derecho y la justicia.";;1;1ra.ed.;1988.;1867
"Linares, Juan Francisco";"Razonabilidad de las leyes : ";"""el debido proceso"" como garantía innominada en la Constitución Argentina.";1;2da.ed.;1989.;1868
"Vigo, Rodolfo L";"Las cuasas del derecho : ";"prólogo de Georges  Kalinowki.";10;;1983.;1869
"Pérez Hualde, Alejandro";"Decretos de necesidad y urgencia.";;1;1ra.ed.;1995.;1870
"Quiroga Lavié, Humberto";"Curso de derecho constitucional.";;1;1ra.ed.;1987.;1871
"Levenson, Albert M";"Manual de teoría de los precios.";;35;1ra.ed.;1979.;1872
"Ekmekdjian, Miguel Ángel";"Manual de la constitución Argentina.";;1;2da.ed.;1995.;1873
"Ekmekdjian, Miguel Ángel";"Análisis pedagógico de la constitución nacional.";;1;4ta.ed.;1993.;1874
"Spisso, Rodolfo R";"Derecho constitucional tributario.";;2;1ra.ed.;1993.;1875
"Madrid H., Miguel De La";"El marco legislativo para el cambio.";;1;1ra.ed.;1983.;1876
"Madrid H., Miguel De La";"El marco legislativo para el cambio.";;1;1ra.ed.;1983.;1877
"Madrid H., Miguel De La";"El marco legislativo para el cambio.";;1;1ra.ed.;1983.;1878
"Madrid H., Miguel De La";"El marco legislativo para el cambio.";;1;1ra.ed.;1983.;1879
"Madrid H., Miguel De La";"El marco legislativo para el cambio.";;1;1ra.ed.;1983.;1880
"Madrid H., Miguel De La";"El marco legislativo para el cambio.";;1;1ra.ed.;1983.;1881
"Madrid H., Miguel De La";"El marco legislativo para el cambio.";;1;1ra.ed.;1983.;1882
"Madrid H., Miguel De La";"El marco legislativo para el cambio.";;1;1ra.ed.;1983.;1883
"Madrid H., Miguel De La";"El marco legislativo para el cambio.";;1;1ra.ed.;1983.;1884
"Madrid H., Miguel De La";"El marco legislativo para el cambio.";;1;1ra.ed.;1983.;1885
"Madrid H., Miguel De La";"El marco legislativo para el cambio.";;1;1ra.ed.;1983.;1886
"Madrid H., Miguel De La";"El marco legislativo para el cambio.";;1;1ra.ed.;1983.;1887
"Madrid H., Miguel De La";"El marco legislativo para el cambio.";;1;1ra.ed.;1983.;1888
"Madrid H., Miguel De La";"El marco legislativo para el cambio.";;1;1ra.ed.;1983.;1889
"Madrid H., Miguel De La";"El marco legislativo para el cambio.";;1;1ra.ed.;1983.;1890
"Madrid H., Miguel De La";"El marco legislativo para el cambio.";;1;1ra.ed.;1983.;1891
"Madrid H., Miguel De La";"El marco legislativo para el cambio.";;1;1ra.ed.;1983.;1892
"Madrid H., Miguel De La";"El marco legislativo para el cambio.";;1;1ra.ed.;1983.;1893
"Madrid H., Miguel De La";"El marco legislativo para el cambio.";;1;1ra.ed.;1983.;1894
"Madrid H., Miguel De La";"El marco legislativo para el cambio.";;1;1ra.ed.;1983.;1895
"Madrid H., Miguel De La";"El marco legislativo para el cambio.";;1;1ra.ed.;1983.;1896
"Madrid H., Miguel De La";"El marco legislativo para el cambio.";;1;1ra.ed.;1983.;1897
"Madrid H., Miguel De La";"El marco legislativo para el cambio.";;1;1ra.ed.;1983.;1898
"Madrid H., Miguel De La";"El marco legislativo para el cambio.";;1;1ra.ed.;1983.;1899
"Madrid H., Miguel De La";"El marco legislativo para el cambio.";;1;1ra.ed.;1983.;1900
"Madrid H., Miguel De La";"El marco legislativo para el cambio.";;1;1ra.ed.;1983.;1901
"Madrid H., Miguel De La";"El marco legislativo para el cambio.";;1;1ra.ed.;1983.;1902
"Madrid H., Miguel De La";"El marco legislativo para el cambio.";;1;1ra.ed.;1983.;1903
"Madrid H., Miguel De La";"El marco legislativo para el cambio.";;1;1ra.ed.;1983.;1904
"Madrid H., Miguel De La";"El marco legislativo para el cambio.";;1;1ra.ed.;1983.;1905
"Madrid H., Miguel De La";"El marco legislativo para el cambio.";;1;1ra.ed.;1983.;1906
"Madrid H., Miguel De La";"El marco legislativo para el cambio.";;1;1ra.ed.;1983.;1907
;"Ética, derecho, ciencia, tenología y cooperación internacional : ";"reunión Regional UNESCO-CEIA.";1;1ra.ed.;1985.;1908
"Von Arnim, Hans Herbert";"La política monetaria en la Economía Social de Mercado.";;1;1ra.ed.;1989.;1909
"Canavese, Alfredo Juan";"Sistema financiero y político industrial para la Argentina en la década de 1980.";;1;1ra.ed.;1983.;1910
"Llambias, Jorge Joaquin";"Tratado de derecho civil : ";"parte general.";5;15ta.ed.;1993.;1911
"Granillo Ocampo, Raúl Enrique";"Distribución de los riesgos en la contratación administrativa.";;1;1ra.ed.;1990.;1912
"Zavalía, Víctor P";"Unificación de la Legislación Civil y Comercial.";;1;1ra.ed.;1988.;1913
"Borda, Guillermo A";"Tratado de derecho civil : ";obligaciones.;4;5ta.ed.;1983.;1914
"Borda, Guillermo A";"Tratado de derecho civil : ";obligaciones.;4;5ta.ed.;1983.;1915
"Borda, Guillermo A";"Tratado de derecho civil : ";familia.;3;7ma.ed.;1984.;1916
"Borda, Guillermo A";"Tratado de derecho civil : ";familia.;3;7ma.ed.;1984.;1917
"Borda, Guillermo A";"Tratado de derecho civil : ";"derechos reales.";3;3ra.ed.;1984.;1918
"Borda, Guillermo A";"Tratado de derecho civil : ";"derechos reales.";3;3ra.ed.;1984.;1919
"Borda, Guillermo A";"Tratado de derecho civil : ";sucesiones.;3;6ta.ed.;1987.;1920
"Borda, Guillermo A";"Tratado de derecho civil : ";sucesiones.;3;6ta.ed.;1987.;1921
"Wayar, Ernesto Clemente";"El pago por consignación : ";"doctrina y jurisprudencia.";10;1ra.ed.;1983.;1922
"Nino, Carlos Santiago";"Etica y derechos humanos : ";"un ensayo de fundamentación.";1;2da.ed.;1989.;1923
"Pérez Guilhou, Dardo";"Atribuciones del congreso argentino.";;1;1ra.ed.;1984.;1924
"Pérez Guilhou, Dardo";"Atribuciones del presidente argentino.";;1;1ra.ed.;1984.;1925
"García Belsunce, Horacio A";"Garantías constitucionales.";;3;1ra.ed.;1984.;1926
"Bidart Campos, Germán J.";"Manual de derecho constitucional.";;10;1ra.ed.;1985.;1927
"Sarmiento García, Jorge H";"Protección del administrado.";;1;1ra.ed.;1996.;1928
"Sarmiento García, Jorge H";"Concesión de servicios públicos.";;1;1ra.ed.;1996.;1929
"Friedman, Milton";"Teoría de los precios.";;14;;1982.;1930
"Ekmekdjian, Miguel Ángel";"Manual de la constitución Argentina : ";"comentarios sobre la reforma constitucional de 1994.";1;1ra.ed.;1995.;1931
"Llambias, Jorge Joaquin";"Manual de derecho civil : ";obligaciones.;1;10ma.ed.;1993.;1932
"Stanga, Silvana";"El saber de la justicia : ";"un modelo sistematizado de capacitación judicial.";1;1ra.ed.;1996.;1933
"Cassese, Antonio";"Los derechos humanos en el mundo contemporáneo.";;1;1ra.ed.;1991.;1934
"Perez Guilhou, Dardo";"El poder judicial.";;1;1ra.ed.;1989.;1935
"Sagues, Néstor Pedro";"Costitución de la Nación Argentina : ";"texto oficial de 1853 con las reformas.";1;5ta.ed.;1995.;1936
"Sagues, Néstor Pedro";"Constitución de la Nación Argentina : ";"texto oficial de 1853 con las reformas.";3;6ta.ed.;1996.;1937
"Ekmekdjian, Miguel Ángel";"Tratado de derecho constitucional : ";"constitución de la Nación Argentina comentada.";1;1ra.ed.;1993.;1938
"Ekmekdjian, Miguel Ángel";"Tratado de derecho constitucional : ";"constitución de la Nación Argentina comentada.";1;1ra.ed.;1993.;1939
"Barra, Rodolfo Carlos";"Los actos administrativos constractuales : ";"teoría del acto coligado.";1;1ra.ed.;1989.;1940
"Leftwich, Richard H";"Sistema de precios y asignación de recursos.";;18;3ra.ed.;1978.;1941
"Carlevari, Isidro J.F.";"La Argentina : ";"geografía humana y económica.";12;12da.ed.;1996.;1942
"Carlevari, Isidro J.F.";"La Argentina : ";"geografía humana y económica.";2;11ra.ed.;1995.;1943
"Clement, Liliana H";"El poder judicial en las constituciones provinciales de la Argentina : ";"estudio comparado.";1;1ra.ed.;1996.;1944
;"Concurso de ideas prácticas para una más eficaz administración de justicia : ";"(premios y menciones)";1;1ra.ed.;1996.;1945
"Halperin, Isaac";"Curso de derecho comercial.";;5;3ra.ed.;1982.;1946
"López De Zavalia, Fernando J";"Teoría de los contratos.";;1;1ra.ed.;1991.;1947
"López De Zavalia, Fernando J";"Teoría de los contratos.";;1;1ra.ed.;1991.;1948
"López De Zavalia, Fernando J";"Teoría de los contratos.";;1;1ra.ed.;1991.;1949
"López De Zavalia, Fernando J";"Teoría de los contratos.";;1;1ra.ed.;1991.;1950
"Zunino, Jorge Osvaldo";"Fondo de comercio : ";"régimen legal de su transferencia.";5;1ra.ed.;1982.;1951
"Ramella, Pablo A";"Derecho constitucional.";;1;2da.ed.;1982.;1952
"Ramella, Pablo A";"Derecho constitucional.";;30;3ra.ed.;1986.;1953
"Sanclemente, Ricardo A.";"Temas sobre seminario de aplicación profesional jurídico contable.";;1;1ra.ed.;1984.;1954
"Sanclemente, Ricardo A.";"Temas sobre seminario de aplicación profesional jurídico contable.";;1;1ra.ed.;1984.;1955
"Sanclemente, Ricardo A.";"Temas sobre seminario de aplicación profesional jurídico contable.";;1;1ra.ed.;1984.;1956
"Novellino, Norberto José";"Nuevas Normas de familia : ";"matrimonio, divorcio, ley 23.515.";2;1ra.ed.;1987.;1957
"Le Pera, Sergio";"Joint venture y sociedad : ";"acuerdo de coparticipación empresaria.";5;1ra.ed.;1984.;1958
;"Conflictos societarios : ";"doctrina, jurisprudencia, legislación y normas.";1;;1983.;1959
"García Badaracco, Adela B";"Régimen de sociedades comerciales : ";"ley 19550; texto ordenado 1984 según decreto 841/84.";15;3ra.ed.;1985.;1960
"Zunino, Jorge Osvaldo";"Régimen de sociedades comerciales : ";"ley 19550; texto ordenado 1984 según decreto 841/84.";1;11ra.ed.;1991.;1961
"Zunino, Jorge Osvaldo";"Régimen de sociedades comerciales : ";"ley 19550; texto ordenado 1984 según decreto 841/84.";2;13ra.ed.;1995.;1962
"Wayar, Ernesto Clemente";"Compraventa y permuta.";;11;1ra.ed.;1994.;1963
"Escuti, Ignacio A";"Títulos de crédito : ";"letra de cambio, pagaré y cheque.";1;4ta.ed.;1995.;1964
"Bonfanti, Mario Alberto";"De los títulos de crédito.";;3;2da.ed.;1982.;1965
"Muguillo, Roberto A.";"Régimen general de la prenda con registro : ";"comentado, anotado y concordado.";5;1ra.ed.;1984.;1966
"Cibotti, Ricardo";"El sector público en la planificación del desarrollo.";;4;13ra.ed.;1986.;1967
"Villegas, Carlos Gilberto";"Derecho de las sociedades comerciales : ";"comentario al texto de la ley 19550 reformado por la ley 22903 según decreto 841/84.";13;2da.ed.;1986.;1968
"Fusaro, Bertelio";"Concursos : ";"actualización.Comentarios teóricos y prácticos sobre las reformas de la Ley 19551.";2;1ra.ed.;1984.;1969
"Fassi, Santiago C.";"Concursos comerciales y civiles.";;2;2da.ed.;1982.;1970
"Martínez De Petrazzini, Verónica F";"Ley de concursos y quiebras N§24522.";;2;1ra.ed.;1995.;1971
"Rouillon, Adolfo A. N";"Régimen de concursos y quiebras : ";"ley 24522.";2;6ta.ed.;1996.;1972
"Hutchinson, Tomás";"Ley nacional de procedimiento administrativo : ";"ley 19549.";4;1ra.ed.;1993.;1973
"Diez, Manuel María";"Manual de derecho administrativo.";;1;7ma.ed.;1994.;1974
"Gómez Leo, Osvaldo";"Manual de derecho cambiario : ";"letra de cambio, pagaré, cheque.";1;1ra.ed.;1994.;1975
"Gómez Leo, Osvaldo";"Manual de derecho cambiario : ";"actualización en lo concerniente a la nueva ley de cheques.Ley 24452.";1;1ra.ed.;1994.;1976
"Linares, Juan Francisco";"Derecho administrativo.";;3;1ra.ed.;1986.;1977
"Escola, Héctor Jorge";"Compendio de derecho administrativo.";;1;1ra.ed.;1990.;1978
"Escola, Héctor Jorge";"Compendio de derecho administrativo.";;1;1ra.ed.;1990.;1979
"Vázquez Vialard, Antonio";"Tratado de derecho del trabajo.";;10;;1982.;1980
"Vázquez Vialard, Antonio";"Tratado de derecho del trabajo.";;10;1ra.ed.;1982.;1981
"Vázquez Vialard, Antonio";"Tratado de derecho del trabajo.";;10;1ra.ed.;1982.;1982
"Vázquez Vialard, Antonio";"Tratado de derecho del trabajo.";;10;1ra.ed.;1982.;1983
"Vázquez Vialard, Antonio";"Tratado de derecho del trabajo.";;10;1ra.ed.;1982.;1984
"Vázquez Vialard, Antonio";"Tratado de derecho del trabajo.";;10;1ra.ed.;1982.;1985
"Reyes, Rafael Hugo";"Sociedad de economía mixta y sociedad minera.";;50;1ra.ed.;1983.;1986
"Oszlak, Oscar";"Teoría de la burocracia estatal : ";"enfoques críticos.";1;1ra.ed.;1984.;1987
"Sasot Betes, Miguel A";"Sociedades anónimas : ";"constitución, modificación y extinción.";1;1ra.ed.;1982.;1988
;"Ley de concursos.";;1;1ra.ed.;c1986.;1989
"Dromi, José Roberto";"Reforma del estado y privatizaciones.";;1;1ra.ed.;1991.;1990
"Dromi, José Roberto";"Reforma del estado y privatizaciones.";;1;1ra.ed.;1991.;1991
"Dromi, José Roberto";"Reforma del estado y privatizaciones.";;1;1ra.ed.;1991.;1992
"Collazo, Oscar Juan";"La administración finaciera y los sistemas de control del sector público nacional : ";"análisis y crítica.";2;1ra.ed.;c1994.;1993
"Stewart, James";Cálculo.;;2;1ra.ed.;1994.;1994
"Zill, Dennis G.";"El cálculo con geometría analítica.";;3;1ra.ed.;1994.;1995
"Purcell, Edwin J";"Cálculo con geometria analítica.";;5;6ta.ed.;1993.;1996
"Edwards, C.H.";"Cálculo y geometría analítica.";;1;2da.ed.;1987.;1997
"Thomas, George B.";"Cálculo con geometria analítica.";;1;1ra.ed.;1987.;1998
"Ayres, Frank";"Teoría y problemas de matemática financieras.";;10;1ra.ed.;1980.;1999
"Murioni, Oscar";"Cálculo financiero.";;6;1ra.ed.;1986.;2000
"Martínez Mediano, José María";"Matemática para Ciencias Sociales.";;2;1ra.ed.;1994.;2001
"Arya, Jagdish C";"matemática aplicada a la Administración y a la Economía.";;3;3ra.ed.;1992.;2002
"Ayres, Frank";"Algebra moderna.";;1;1ra.ed.;1991.;2003
"Gerber, Harvey";"Algebra lineal.";;1;1ra.ed.;1990.;2004
"Goodson, Carole E.";"Algebra con aplicaciones técnicas.";;2;;1994.;2005
"Kleiman, Ariel";"Matrices : ";"aplicaciones matemáticas en economía y administración.";2;1ra.ed.;1995.;2006
"Clemens, Stanley R.";"Geometría con aplicaciones y solución de problemasca.";;2;;1984.;2007
"Dettman, John W";"Introducción al algebra lineal y a las ecuaciones diferenciales.";;2;;1975.;2008
"Fleming, Walter";"Algebra y trigonometría con geometría analítica.";;2;3ra.ed.;1991.;2009
"Hit Espoinosa, Fernando";"Investigación en matemática educativa.";;1;1ra.ed.;1996.;2010
"Hutchinson, Tomás";"Régimende procedimientos administrativos : ";"ley 19549; decreto reglamentario 1759/72 ...";1;3ra.ed.;1995.;2011
"Phillips, Elizabeth Difanis";"Algebra con aplicaciones.";;2;1ra.ed.;1988.;2012
"Allen, R.G.D.";"Análisis matemático para economistas.";;6;8va.ed.;1978.;2013
"Rabuffetti, Hebe T.";"Introducción al análisis matemático : ";"Cálculo 1.";6;14ta.ed.;1997.;2014
;"Ciento veinte años de la procuración del tesoro : ";1863-1983.;2;1ra.ed.;c1983.;2015
"Vazquez Gómez, Gonzalo";"Técnicas de trabajo en la universidad.";;2;;1975.;2016
"Cuccorese, Horacio Juan";"Historia de los ferrocarriles en la Argentina.";;3;1ra.ed.;1984.;2017
"Puigros, Adriana";"Universidad y evaluación : ";"estado del debate.";1;1ra.ed.;1994.;2018
"Díaz Barriga, Ángel";"Docente y programa : ";"lo institucional y lo didáctico.";1;1ra.ed.;1994.;2019
"Díaz Barriga, Ángel";"Didáctica : ";"aportes para una polémica.";1;1ra.ed.;1991.;2020
"Follari, Roberto A";"Práctica educativa y rol docente : ";"crítica del instrumento pedagógico.";1;2da.ed.;1993.;2021
"Ezcurra, Ana María";"Formación docente e innovación educativa.";;7;2da.ed.;1994.;2022
"Diaz Barriga, Ángel";"El currículo escolar : ";"surgimiento y perspectivas.";2;2da.ed.;1994.;2023
"Weiers, Ronald M";"Investigación de mercados.";;1;1ra.ed.;1986.;2024
"Kinner, Thomas C";"Investigación de mercados.";;1;1ra.ed.;1994.;2025
"Mc Carthy, E. Jerome";"Comercialización : ";"un enfoque gerencial.";3;4ta.ed.;1974.;2026
"Mc Carthy, E. Jerome";"Comercialización : ";"un enfoque gerencial.";1;6ta.ed.;1983.;2027
"Dessler, Gary";"Organización y Aministración : ";"enfoque situacional.";1;1ra.ed.;1986.;2028
"Hodge, Billy J";"Administración y organización.";;7;2da.ed.;1984.;2029
"Servitje, Lorenzo";"La sociedad contemporánea y el empresario.";;1;1ra.ed.;1981.;2030
"Lollini, José Rodolfo";"Estructura y planificación de las organizaciones : ";"el desafío frente al cambio.";4;1ra.ed.;1982.;2031
