LISTADO DE LIBROS DE LA BIBLIOTECA DE LA FACULTAD DE CIENCIAS ECONOMICAS		
Autor	Titulo de libro	Cant Ejemplar
Pietragalla, Cándido O.	Cultura y sociedad en las empresas argentinas.	2
Hauser, Enrique A	Fusión de empresas.	3
Mazer, Horacio Matías	Administración hotelera :	1
Andrieu, Pedro Enrique	Desarrollo ,política económica y social y reforma del Estado.	3
Barros Garcés, Raúl	Anatomía del balance.	1
Maristany, Jaime	Evaluación de tareas.	1
Biondi, Mario	Enfoques sobre estudios contables.	10
Andrieu, Pedro Enrique	Empresas públicas :	3
Messuti, Domingo Jorge	Finanzas de la empresa :	3
Forino, Sabatino A.	Las empresas del estado en la República Argentina :	2
Basagaña, Eduardo J.	Administración financiera.	5
Basagaña, Eduardo J.	Administración financiera.	4
Basagaña, Eduardo J.	Administración financiera.	10
Basagaña, Eduardo J.	Administración financiera.	3
Rautenstrauch, W.	El presupuesto en el control de las empresas industriales.	3
Petraglia, Luis A.	Los casos de la empresa X :	2
	Quinta Jornadas Universitarias de Contabilidad.	2
Romano, Miguel Ángel	La contabilidad general a través de sus casos prácticos :	2
Matossian, Pablo D	El presupuesto y su gestión.	17
Fresco, Juan Carlos	Los circuitos y otras herramientas de gestión.	8
Newman, William H	Programación, organización y control.	1
Zuloaga Palencia, Alberto	La psicología aplicada a la empresa y el trabajo.	3
Candioti, Eduardo María	Cuadernos de administración financiera.	5
Buffa, Elwood S.	Administración de producción.	6
Cutolo, Vicente Osvaldo	Manual de historia económica y social.	11
	La administración financiera en la década del '80.	1
Delville, André	la información en la empresa.	2
Hinrichs, John R	Crisis de la motivación :	3
	Homenaje al cuarto centenario de la segunda fundación de la ciudad de Trinidad y Puerto de Santa María de los Buenos Aires.	1
	Vida, espíritu y pensamiento de Juan Cuatrecasas.	1
Chaves, Gerardo O.H.	Historia económica y social.	2
Martinez, Rafael	Geografía de la producción :	1
Castro, Josué De	Una zona explosiva en América Latina :	1
Martinez, Pedro Santos	La nueva Argentina :	10
Cortese, Antonio	Historia económica social y general.	10
Cortese, Antonio	Historia económica Argentina y Americana.	5
Echague, Pedro H.J.	Breviario de historia económica argentina y americana.	9
Martire, Eduardo	Manual de historia económica.	28
Terry, George R	Principios de administración.	6
Bonfanti, Mario Alberto	Concursos y quiebra.	3
Dixon, Wilfred J.	Introducción al análisis estadística.	1
Tau Anzoátegui, Víctor	Manual de historia de las instituciones argentinas.	5
Langefors, Börje	Teoría de los sistemas de información.	1
Halperin Donghi, Tulio	Argentina :	4
Ciria, Alberto	Partidos políticos en la Argentina moderna(1930-1946)	2
Ruthsatz, Bárbara	Relevamiento de las estepas andinas del noroeste de la provincia de Jujuy.	2
Assadourian, Carlos S	Argentina :	1
	Actas de la XV semana de geografía.	1
	Anales del Segundo Congreso Nacional de Ciencias de la Administración.	1
	Introducción a la contabilidad :	1
	Introducción a la contabilidad :	1
Rosas, José María	Historia Argentina.	1
Rosas, José María	Historia Argentina.	1
Rosas, José María	Historia Argentina.	1
Rosas, José María	Historia Argentina.	1
Rosas, José María	Historia Argentina.	1
Rosas, José María	Historia Argentina.	1
Rosas, José María	Historia Argentina.	1
Rosas, José María	Historia Argentina.	1
Rosas, José María	Historia Argentina.	1
Rosas, José María	Historia Argentina.	1
Rosas, José María	Historia Argentina.	1
Rosas, José María	Historia Argentina.	1
George, Pierre	Geografía económica.	1
Vazquez De Prada, Valentín	Historia económica mundial.	2
Marini, José Felipe	El conocimiento geopolítico.	1
Bidart Campos, Germán J.	Historia política y constitucional argentina.	1
Bidart Campos, Germán J.	Historia política y constitucional argentina.	1
Bidart Campos, Germán J.	Historia política y constitucional argentina.	1
	Obras completas de Juan B.TERAN :	1
	Obras completas de Juan B.TERAN :	1
	Obras completas de Juan B. Terán :	1
	Obras completas de Juan B. Terán :	1
	Obras completas de Juan B. Terán :	1
	Obras completas de Juan B. Terán :	1
	Obras completas de Juan B. Terán :	1
	Obras completas de Juan B. Terán :	1
	Obras completas de Juan B. Terán :	1
	Obras completas de Juan B. Terán :	1
	Obras completas de Juan B. Terán :	1
	Obras completas de Juan B. Terán :	1
Quintana, Humberto Leopoldo	Algunos conceptos para comprender la economía.	7
Quintana, Humberto Leopoldo	Integración regional y asimetrías económicas :	12
	Cooperación multilateral en la Argentina 97/99 :	1
Cortes De Trejo, Lea Cristina	Tribunales de Cuentas, Auditorías Generales y algo más ...	1
Koldo, Mirena	La organización centrada en la gente :	1
	Las tendencias económicas para el fin del siglo.	1
	Federalismo y Gobiernos Locales.	1
	Proyectos de inversión :	1
Ghiglione, Luis María	Estructuras y procesos.	5
Bergesio, Liliana	Ganarse la vida :	2
Llambias, Jorge Joaquin	Compendio de derecho civil :	1
Munier, Nolberto Juan	PERT - CPM y técnicas relacionadas :	9
Munier, Nolberto Juan	PERT - CPM y técnicas relacionadas :	10
Cholvis, Francisco	Tratado de organización, costos y balances :	1
Cholvis, Francisco	Tratado de organización, costos y balances :	1
Cholvis, Francisco	Tratado de organización, costos y balances :	1
Cholvis, Francisco	Tratado de organización, costos y balances :	1
Cholvis, Francisco	Tratado de organización, costos y balances :	1
Cholvis, Francisco	Tratado de organización, costos y balances :	1
Cholvis, Francisco	Tratado de organización, costos y balances :	1
Cholvis, Francisco	Tratado de organización, costos y balances :	1
Chaves, Osvaldo A.	Valor llave :	5
Kastika, Eduardo	Desorganización creativa organización innovadora.	3
Blanco Illescas, Francisco	El control integrado de gestión :	2
Mochón Morcillo, Francisco	Economía :	5
Etkin, Jorge Ricardo	Identidad de las organizaciones :	3
O'Kean, José María	Análisis del entorno económico de los negocios :	11
Sarmiento García, Jorge H	Derecho público.	1
Sarmiento García, Jorge H	Derecho público :	15
Ferrucci, Ricardo Jorge	Instrumental para el estudio de la economía argentina.	28
Fischer, Stanley	Economía.	1
Adler, Martín Oscar	Análisis matemático.	19
Adler, Martín Oscar	Análisis matemático.	20
Ayres, Frank	Teoría y problemas de cálculo diferencial e integral.	12
Biasca, Rodolfo E.	Resizing :	3
Biondi, Mario	Tratado de contabilidad intermedia y superior.	23
Biondi, Mario	Tratado de Contabilidad Intermedia y Superior.	15
Biondi, Mario	Interpretación y análisis de estados contables.	16
Biondi, Mario	Fundamentos de contabilidad.	4
Budnick, Frank S	Matemáticas aplicadas para Administración, Economía y Ciencias Sociales.	1
Burak, Natalio Jorge	Formularios y práctica impositiva.	2
Alberdi, Juan Bautista,	Economía y constitución.	1
Cartas, José María	Comercio exterior y ajuste estructural en Brasil (1963-1980)	1
Castro, Juan Pedro	Régimen de normalización impositivo de patrimonios.	2
Cibotti, Ricardo	El sector público en la planificación del desarrollo.	1
Campaña Rey De Sasso, María Del Carmen	Contabilidad básica :	1
Dromi, José Roberto	Derecho administrativo.	2
Dromi, José Roberto	Derecho Administrativo.	2
Dromi, José Roberto	Los jueces :	2
Etchevarne, Carlos	Calidad gerencial.	2
Etkin, Jorge Ricardo	Viabilidad de las organizaciones :	2
Ferrucci, Ricardo Jorge	La promoción industrial en Argentina.	1
Ferrucci, Ricardo Jorge	Instrumental para el estudio de la economía argentina.	11
Fowler Newton, Enrique	Análisis de estados contables.	1
Fowler Newton, Enrique	Auditoría aplicada.	22
Fowler Newton, Enrique	Contabilidad básica.	37
Fowler Newton, Enrique	Cuestiones contables fundamentales.	22
Fowler Newton, Enrique	Nuevas normas contables :	14
Giuliani Fonrouge, Carlos M	Derecho financiero.	7
Fowler Newton, Enrique	Nuevas normas contables :	3
Fayol, Henri	Administración industrial y general :	2
Garcia Pelayo Y Gross, Ramón	Pequeño Larousse ilustrado 1993.	2
Gianella De Salama, Alicia	Lógica simbólica y elementos de metodología de la ciencia.	8
Gianella De Salama, Alicia	Lógica simbólica y elementos de metodología de la ciencia.	1
Giuliani Fonrouge, Carlos M	Derecho financiero.	5
Giuliani Fonrouge, Carlos M	Derecho financiero.	5
Graziano, Walter	Historia de dos hiperinflaciones.	17
Haveman, Robert H	El sistema de precios.	1
Iglesias Mónica, Carlos A.	Introducción al estudio de la contabilidad :	2
Ikeda, Daisaku	Una paz duradera.	2
Giuliani Fonrouge, Carlos M	Derecho financiero.	7
Katz, Jorge	El proceso de industrialización en la Argentina :	1
Lajugie, Joseph	Los sistemas económicos.	6
Lajugie, Joseph	Los sistemas económicos.	1
Lajugie, Joseph	Los sistemas económicos.	1
Lazzati, Santiago C.	Claves de la decisión en la empresa :	1
Lazzati, Santiago C.	Management :	2
Leftwich, Richard H	Sistema de precios y asignación de recursos.	12
Lessard, Donald R.	Fuga de capitales y deuda del tercer mundo.	1
López Santiso, Horacio	Estados contables en moneda constante.	1
López Santiso, Horacio	Estados Contables en moneda constante.	1
López Santiso, Horacio	Estados contables en moneda constante.	14
Martínez Nogueira, Roberto	Sociedad, poder y empresa.	1
Luchia Puig, Cecilia	Management :	1
Madrid H., Miguel De La	El marco legislativo para el cambio.	1
Madrid H., Miguel De La	El marco legislativo para el cambio.	1
Madrid H., Miguel De La	El marco legislativo para el cambio.	1
Madrid H., Miguel De La	El marco legislativo para el cambio.	1
Madrid H., Miguel De La	El marco legislativo para el cambio.	1
Macon, Jorge	Federalismo y descentralización fiscal en Latinoamérica.	1
Mallo Rodríguez, Carlos	Contabilidad analítica :	1
Miller, Roger Leroy	Microeconomía.	33
Mochon Morcillo, Francisco	Economía :	16
Mochón Morcillo, Francisco	Economía básica.	13
Mocciaro, Osvaldo A	Presupuesto integrado.	7
Osorio, Oscar M.	La capacidad de producción y los costos.	10
Ostengo, Héctor Carlos	Teoría contable básica.	45
Ostengo, Héctor Carlos	Temas contables fundamentales.	23
Senderovich, Isaac Aizik	Contabilidad introductoria y básica :	2
Ostengo, Héctor Carlos	Bases para un sistema de información contable.	2
Ostengo, Héctor Carlos	Bases para un sistema de información contable.	2
Ostengo, Héctor Carlos	Un modelo contable de evaluación de la gestión de inversión y financiación.	10
Pereira Pinto, Juan Carlos	Historia política, económica y social de la Argentina (1536-1914)	1
Prebisch, Raúl	Obras 1919-1948.	1
Prebisch, Raúl	Obras 1919-1948.	1
Prebisch, Raúl	Obras 1919-1948.	1
Rodríguez, Roberto Mario	Introducción a la contabilidad superior.	35
Rossetti, José Paschoal	Introducción a la economía :	14
Rouillon, Adolfo A. N	Régimen de los concursos :	1
Salvatore, Dominick	Teoría y problemas de microeconomía.	14
Samuelson, Paul Anthony	Economía.	8
San Martino De Dromi, Laura	Los sindicalistas :	1
Sasso, Hugo Luis	Las cuentas y su análisis.	30
Sasso, Hugo Luis	El proceso contable.	2
Scotti, Nicolás Juan	Los impuestos sobre los capitales y sobre el patrimonio neto.	6
Senderovich, Isaac Aizik	Análisis e interpretación de estados contables.	22
Senderovich, Isaac Aizik	Contabilidad introductoria y básica :	32
Senderovich, Pablo David	Resolución Técnica Nº8 y 9 :	8
Senderovich, Pablo David	Resolución Técnica Nº10 :	4
Schuster, José Alberto	Control interno.	1
Spiegel, Murray R	Teoría y problemas de probabilidad y estadística.	3
Stoner, James A. F	Administración.	11
Stoner, James A. F	Administración.	1
Terragno, Rodolfo H.	El acuerdo con S.A.S :	1
Taylor, Howard	Cálculo diferencial e integral.	5
Terrera, Guillermo A.	Geopolítica Argentina :	1
Zunino, Jorge Osvaldo	Régimen de sociedades comerciales :	2
Campi, Daniel	Estudio sobre la historia de la industria azucarera argentina.	1
Rojo, Armando O	Algebra.	3
	Todo el DOS en un sólo libro para PC, IBM y compatibles :	1
	Todo el WORD perfect en un sólo libro para PC, IBM y compatibles :	1
Baldwin, Robert E.	Economic development and growth.	15
Albers, Henry Herman	Management :	4
Grossman, Lee	Executive survival in a world of change.	5
Blankenship, Ralph L.	Colleages in organization.	2
Weaber, Bárbara N.	The corporate memory.	4
Black, James Menzies	How to get results from interviewing.	7
Siu, Ralph Gun Hoy	The master manager.	5
Till, Geoffrey	Estrategia marítima y la era nuclear.	1
Landwehr, Bernard J.	Basic bussines statistics.	5
Sayles, Leonard R.	Managerial behavior.	2
Peterson, Robin	Marketing :	2
Schlaifer, Robert	Introduction to statistics for bussines decisions.	6
Phillips, Ewing Lakin	Day to day anxiety management.	2
Klein, Lawrence R.	La economía de la oferta y la demanda.	2
Forster, Lynn	Foundations for managing the form business.	12
Lattuca, Antonio Juan	Manual de auditoria :	1
Rouillon, Adolfo A. N	Régimen de los concursos :	3
Faga, Héctor Alberto	La información contable útil para la dirección superior.	6
Slosse, Carlos Alberto	Contabilidad para la gestión empresaria.	1
Nissen, Ricardo Augusto	Ley de Sociedades Comerciales :	3
Sartori, Giovanni	Teoría de la democracia :	9
Sartori, Giovanni	Teoría de la democracia :	13
Lijphart, Arend	Democracia en las sociedades plurales.	23
Alcalde Lancharro, Eduardo	Informática básica.	4
Alcalde Lancharro, Eduardo	Informática básica.	9
Linton, Ralph	Estudio del hombre.	10
Ostengo, Héctor Carlos	Normas contables profesionales :	9
Hirschman, Albert O.	El avance en colectividad :	10
Ponsati, Arturo D.	Lecciones de política.	1
Villegas, Héctor Belisario	Régimen penal tributario argentino.	2
Rojo, Armando O.	Algebra.	5
Ballestero, Enrique	Teoría y estructura de la nueva contabilidad.	1
Koontz, Harold	Administración :	1
	Perspectivas de la economía mundial :	1
	Divorcio.	1
Wayar, Ernesto Clemente	Contratos.	19
Hurtado, Emilio Ramón	Concurso y quiebra :	5
Carlevari, Isidro J.F.	La Argentina 1993 :	1
Corripio, Fernando	Diccionario Sinónimos y Antónimos.	1
	Atlas geográfico de la Argentina y Universal.	1
Paolantonio, Martín E	Fondo comunes de inversión :	1
Hermida, Jorge Alfredo	Administración y estrategia.	46
Amedeo, Douglas	An introduction to scientific reasoning in geography.	2
Samuelson, Paul Anthony	Economía.	1
Cartas, José María	Propuestas para un ordenamiento económico alternativo en la Argentina.	1
Castro, Juan Pedro	Los impuestos del 90 :	1
Tosi, Jorge Luis	Diccionario de derecho público :	1
Zaglul, Carlos S	Manual práctico de Sociedades de Responsabilidad Limitada, Sociedades de Hecho y Empresas Unipersonales.	1
García Belsunce, Horacio A	Estudios de derecho constitucional tributario.	1
Gomez Rinesi, José	Guía de negocios financieros y fomento a la explotación para las PYME.	1
Sagues, Néstor Pedro	Constitución de la Nación Argentina, según la reforma de 1994.	1
Martínez Vivot, Julio J	Ley Nacional de Empleo :	3
Mendenhall, William	Introducción a la probabilidad y la estadística.	2
Scheaffer, Richard L.	Elementos de muestreo.	1
Jiménez Blasco, Miguel	Matemáticas financieras y comerciales.	1
Díaz Mata, Alfredo	Matemáticas financieras.	1
Haeussler, Ernest F	Matemáticas para Administración y economía.	5
Rojo, Armando O	Algebra.	4
Musgrave, Richard A	Hacienda pública teórica y aplicada.	9
Sagues, Néstor Pedro	Elementos de derecho constitucional.	26
Sagues, Néstor Pedro	Elementos de derecho constitucional.	26
Mochon Morcillo, Francisco	Economía :	35
Leithold, Louis	El cálculo con geometría analítica.	12
Portantiero, Juan Carlos	Estado y sociedad en el pensamiento clásico.	3
Pla, Alberto J.	Estado y sociedad en el pensamiento Norte y Latinoamericano.	3
De Zavalía, Ricardo	Código civil.	1
Kotler, Philip	Mercadotecnia.	5
Schiffman, León G	Comportamiento del consumidor.	3
Schoell, William F	Mercadotecnia :	4
Ubertone, Fermín Pedro	Como hacer una monografía jurídica :	10
Ponce, Odilon	Bilingual comercial manual y bilingual comercial dictionary :	1
Stannard Allen, W.	Living English Structure.	2
Pit Corder, S.	An Intermediate English Practice Book.	2
Strutt, Peter	Logman business english usage.	1
Rushton, Lynne	Banking.	1
Norman, Susan	Office practice.	1
Hollett, Vicki	Import Export.	1
Land, Geoffrey	Business reading.	1
	Webster`s ninth :	2
Fortini, Hernando Luis	Estados contables de sociedades por acciones :	1
Sasso, Hugo Luis	El proceso contable.	5
Doberti, Carlos	Qué es la informática.	1
	Divorcio.	1
Juarez, Guillermo Nolasco	Ciencia y libertad :	1
Silva Garretón, Martín J.A.	La extensión del contrato de trabajo por responsabilidad.	1
López, Guillermo A. F	Problemática laboral.	1
Sproviero, Juan H	Responsabilidad penal del divorcio vincular.	1
Cornejo Costas, Emilio	Tratado del nombre social :	1
García Mele, Horacio N	El nombre :	1
Ortiz Pellegrini, Miguel Ángel	Introducción a los derechos humanos.	1
Tiberio, Julio C	Casos prácticos de contabilidad pública.	1
Seoane, José A.	Diagramación lógica, lenguajes.	1
Mariani De Vidal, Marina	Curso de derechos reales.	1
Mariani De Vidal, Marina	Curso de derechos reales.	1
Mariani De Vidal, Marina	Curso de derechos reales.	1
Picone, Francisco Humberto	Elementos de derecho administrativo y de derecho procesal administrativo.	1
García Ghirelli, José I	Tratado y documentos internacionales.	1
Rizzo Romano, Alfredo H	Manual de derecho internacional público.	1
Slosse, Carlos Alberto	Auditoría :	7
	Código procesal civil y comercial de la Nación.	2
	Código penal :	1
	Código Civil de la República Argentina con las notas de Vélez Sarsfield y legislación complementaria.	1
	Código civil de la República Argentina, con las notas de Vélez Sarsfield y legislación complementaria.	1
Ale, Miguel Ángel	Manual de contabilidad pública.	27
Verón, Alberto Víctor	Reformas al régimen de sociedades comerciales :	5
Alberti, Edgardo Marcelo	Proyecto de reformas a la ley de sociedades comerciales.	5
Rosbaco, Juan A	Evaluación de proyectos :	1
Ablin, Eduardo	Internacionalización de empresas y tecnología de origen argentino.	1
Penzias, Arno	Ideas e información :	1
López, Guillermo A. F	Derecho de las asociaciones sindicales :	3
Wayar, Ernesto Clemente	Derecho civil :	19
Long, Larry	Introducción a las computadoras y al procesamiento de información.	16
Dromi, José Roberto	Derecho administrativo.	37
Llambias, Jorge Joaquin	Tratado de derecho civil :	5
Verón, Alberto Víctor	Sociedades comerciales :	7
Giuliani Fonrouge, Carlos M	Procedimiento tributario.	3
Etkin, Jorge Ricardo	Burocracia en corporaciones públicas y privadas.	6
Sarsa López, Domingo	Manual de derivados financieros para las PYMES.	1
Zarini, Helio Juan	Análisis de la Constitución Nacional.	10
Moisset De Espanes, Luis	Convertibilidad del Austral :	5
Moisset De Espanes, Luis	Convertibilidad del Austral :	5
Moisset De Espanes, Luis	Convertibilidad del Austral :	5
Moisset De Espanes, Luis	Convertibilidad del Austral :	5
Fowler Newton, Enrique	Contabilidad superior.	20
Fowler Newton, Enrique	Contabilidad superior.	21
Viroglio, Adriana L	Cómo elaborar monografías y tesis.	20
Apreda, Rodolfo	Curso de matemática financiera en un contexto inflacionario.	1
Vricella, Aldo	Matemática financiera o estudio de casos en un contexto inflacionario.	1
Portus Govinden, Lincoyán	Matemática financiera.	1
Álvarez, Alfonso	Matemática financiera.	1
Gómez Esteban, Javier	Matemáticas financieras.	2
Highland, Esther H	Matemática financiera.	1
Fowler Newton, Enrique	Cuestiones fundamentales de auditoría.	14
Gil Peláez, Lorenzo	Matemática para las operaciones financieras :	1
Garcia Pelayo, Manuel	Burocracia y tecnocracia y otros escritos.	4
Gardner, Martín	Carnaval matemático.	2
Cañibano Calvo, Leandro	Autofinanciación y tesorería en la empresa :	1
Garcia, Rigoberto	Economía y geografía del desarrollo en América Latina.	5
Dichter, Ernest	¿Es Usted un buen gerente?	1
Espina, Álvaro	Recursos humanos y política industrial :	1
Albornoz, María	Argentina :	1
Correa, Carlos María	Tecnología y desarrollo de la informática en el contexto Norte-Sur.	1
Gutierrez, Miguel Ángel	"Integración; experiencias en Europa y América Latina."	1
Munier, Nolberto Juan	Aplicaciones de la programación lineal :	1
Brunt, Peter D.	Como reducir costos de su negocio.	1
Sunkel, Osvaldo	El subdesarrollo latinoamericano y la teoría del desarrollo.	2
Lattuca, Antonio Juan	Manual de auditoría :	2
Nuñez Miñana, Horacio	Finanzas públicas.	18
Werther, William B	Administración de personal y recursos humanos.	2
Nagai, Michio	Spirit of enterprise :	1
Quirk, Randolph	A university grammar of english.	1
Ferro, Carlos M.	Código aduanero comentado.	2
Ferrucci, Ricardo Jorge	Instrumental para el estudio de la economía argentina.	20
Etcheverry, Raúl Aníbal	Manual de derecho comercial :	14
Garcia, Carlos Luis	La función del contador público.	3
Aldao Zapiola, Carlos M.	La negociación :	1
Andersen, Arthur	El nuevo orden tecnológico.	1
Saporosi, Gerardo	Pasión entrepreneur.	1
Ghiglione, Luis María	Estructuras y procesos.	12
Serra, Roberto	Estructuras empresarias dinámicas.	1
Braidot, Néstor P	Marketing total.	2
Alonso Piñeiro, Armando	El quinto poder :	1
Brojt, David	Como mejorar la rentabilidad empresaria y ganar competitividad.	1
Borojan, Donald D.	Las ventajas del franchising.	1
Rico, Rubén Roberto	Calidad estratégica total :	1
Colaiacovo, Juan Luis	Joint ventures y otras formas de cooperación empresaria internacional.	1
Ledesma, Carlos Alberto	Principios de comercio internacional.	10
Carlevari, Isidro J.F.	Geografía económica Mundial y Argentina :	9
Solanet, Manuel A	Evaluación económica de proyectos de inversión.	1
Solanet, Manuel A	Evaluación económica de proyectos de inversión.	9
Gil Peláez, Lorenzo	Tablas financieras estadísticas y actuariales.	1
Franciosi, Eduardo	El IVA y el productor agropecuario.	2
Colaiacovo, Juan Luis	Proyectos de exportación y estrategias de marketing internacional.	1
Jarillo, José Carlos	Dirección estratégica.	1
Jarillo, José Carlos	Estrategia internacional :	1
Milano, Antonio	Resolución de problemas y toma de decisiones.	1
Gore, Albert	La tierra en juego :	4
Brown, Lester	La situación del mundo 1994.	3
Drucker, Peter F	Administración y futuro :	1
Heslep, Robert D.	La educación en democracia :	2
Dougherty, James E.	Teoría en pugna en las relaciones internacionales.	4
Klein, Miguel Ángel	Cursogramas :	3
Marchevsky, Rubén Alberto	Impuestos al valor agregado :	1
Castro, Juan Pedro	Nuevo régimen simplificado para pequeños contribuyentes en el impuesto al valor agregado.	1
Biondi, Mario	Interpretación y análisis de estados contables.	2
Repetto, Celina	Manual de Análisis matemático :	1
Repetto, Celina	Manual de Análisis matemático :	3
Escuti, Ignacio A.	Títulos de crédito :	4
Sasso, Hugo Luis	El proceso contable.	5
Rubianes, Carlos J.	El código penal y su interpretación jurisprudencial.	1
Vázquez Vialard, Antonio	Derecho del trabajo y la seguridad social.	15
Vázquez Vialard, Antonio	Derecho del trabajo y la seguridad social.	15
Verón, Alberto Víctor	Sociedades comerciales :	6
Poviña, Alfredo	Manual de sociología.	3
Poviña, Alfredo	Tratado de sociología.	2
Ghersi, Carlos Alberto	Contratos civiles y comerciales :	2
Ghersi, Carlos Alberto	Contratos civiles y comerciales :	2
Rodríguez Mancini, Jorge	Curso de derecho del trabajo y la seguridad social.	5
Ferrer, Aldo	La economía de la Argentina :	3
Hutchinson, Tomás	Régimen de procedimientos administrativos :	3
Dromi, José Roberto	"Nuevo estado; nuevo derecho. Constitución para todos."	1
Villegas, Carlos Gilberto	"Comercio exterior y crédito documentario; compraventas y garantías internacionales."	2
Edwards, Carlos Enrique	La pena de clausura tributaria :	2
Fassi, Santiago C	"Concursos; comentario exegético de la ley 19551."	2
Aguilar, Fernando	Sistemas de ahorro previo por grupos cerrados, bienes, dinero, inmuebles.	2
Carrozza, Antonio	Teoría general e Institutos de derecho agrario.	2
Brebbia, Fernando P	Manual de derecho agrario.	2
Hutchinson, Tomás	Ley nacional de procedimientos administrativos :	4
Wayar, Ernesto Clemente	Evición y juicios redhibiditorios.	2
Wayar, Ernesto Clemente	Evición y juicios redhibiditorios.	2
Trigo Represas, Félix A.	Responsabilidad civil de los profesionales.Caracteres jurídico del contrato de seguro.	2
Ghersi, Carlos Alberto	Obligaciones civiles y comerciales.	2
Ghersi, Carlos Alberto	Derecho civil :	2
Zunino, Jorge Osvaldo	Régimen de seguros :	2
Villegas, Carlos Gilberto	Régimen de obligaciones negociables :	2
Arazi, Roland	Régimen del código procesal civil y comercial de la Nación.	2
Farina, Juan M.	Contratos comerciales modernos :	2
Fernandez Campon, Raúl	Régimen del contrato de trabajo :	2
Rainolter, Milton A.	Régimen de accidentes de trabajo :	2
Fontanals Albiol, Hortensia	"Matemática financiera; supuestos."	1
Samuelson, Paul Anthony	Economía.	7
Carlevari, Isidro J.F.	Compendio de geografía económica Mundial y Argentina.	13
Hermida, Jorge Alfredo	Administración y estrategia :	2
Hall, Richard H.	Organizaciones :	8
Borda, Guillermo A	Manual de derecho civil :	2
Berenson, Mark L.	Estadística para administración y economía :	10
Long, Larry	Microcomputadoras :	7
Ferrer, Aldo	La economía de la Argentina :	1
Purcell, Edwin J	Cálculo diferencial e integral.	6
Ato, Manuel	Fundamentos de estadística con Systat.	1
Dromi, José Roberto	Introducción al derecho administrativo.	20
Scarano, Eduardo R.	Evaluación de los sistemas formales en ciencias fácticas.	1
Asti Vera, Armando	Metodología de la investigación.	11
Currás, Emilia	Documentación y metodología de la investigación científica.	1
Eco, Umberto	Cómo se hace una tesis.	5
Blanchet, Alain	Técnicas de investigación en ciencias sociales :	1
Fernandez, Alberto Vicente	Arte de la persuasión oral :	1
Fernandez, Alberto Vicente	Educación y palabra :	1
Zubizarreta, Armando F	La aventura del trabajo intelectual :	2
Budic, Domingo Valentín	Diccionario del comercio exterior.	1
Cravero, José Mario Juan	El tomismo en la filosofía contemporánea de la economía.	1
Russell, Bertrand	Historia de la filosofía occidental :	2
Russell, Bertrand	Historia de la filosofía occidental :	2
Cohen, Morris R	Introducción a la lógica y al método científico :	2
Cohen, Morris R	Introducción a la lógica y al método científico :	9
Copi, Irving M	Lógica simbólica.	1
Copi, Irving M	Introducción a la lógica.	1
Moreno, Alberto	Ejercicios de lógica.	4
Gianella De Salama, Alicia	Lógica simbólica y elementos de metodología.	2
Gianella De Salama, Alicia	Lógica simbólica y elementos de metodología.	1
Gianella De Salama, Alicia	Lógica simbólica y elementos de metodología.	1
Ferrater Mora, José	Lógica matemática.	7
Hessen, Johannes	Teoría del conocimiento.	2
Bochenski, I.M.	Los métodos actuales del pensamiento.	3
Bunge, Mario	La investigación científica :	8
Carrillo Landeros, Ramiro	Metodología y administración.	1
Duverger, Maurice	Métodos de las ciencias sociales.	1
Duverger, Maurice	Métodos de las ciencias sociales.	1
Gibson, Quentin	La lógica de la investigación social.	1
Hempel, Carl G.	Filosofía de la ciencia natural.	2
Nagel, Ernest	La estructura de la ciencia :	7
Namakforoosh, Mohammad Naghi	Metodología de la investigación en administración, contaduría y economía.	2
Pardinas, Felipe	Metodología y técnicas de investigación en ciencias sociales.	2
Popper, Karl R	La lógica de la investigación cientifica.	2
Ayala, Francisco	Introducción a las ciencias sociales.	1
Ackoff, Russell L.	Rediseñando el futuro.	1
Beltran, Miguel	La realidad social.	1
Bottomore, T.B.	Introducción a la sociología.	1
Chinoy, Ely	La sociedad :	6
Giddens, Anthony	La estructura de clases en las sociedades avanzadas.	1
Giner, Salvador	Sociología.	1
Harris, Christopher Charles	Familia y sociedad industrial.	1
Heller, Agnes	Sociología de la vida cotidiana.	2
Lopez, Enrique Martín	Textos de sociología de la familia :	1
Benedicto, Jorge	Sociedad y política.	1
Tortosa, José M	Sociología del sistema mundial.	1
Tripier, Pierre	Del trabajo al empleo :	1
Garcia Fajardo, José Carlos	Comunicación de masas y pensamiento político.	1
Ferrarotti, Franco	La historia y lo cotidiano.	1
Carrithers, Michael.	¿Por qué los humanos tenemos cultura? :	1
Mayntz, Renate	Introducción a los métodos de la sociología empírica.	2
Sartori, Giovanni	La comparación en las ciencias sociales.	2
Crompton, Rosemary	Clase y estratificación :	1
Martinez Veiga, Ubaldo	Mujer, trabajo y domicilio :	1
Beker, Víctor Alberto	Economía :	4
Hagen, Everett E.	Desarrollo económico.	1
Lefebvre, Henri	De lo rural a lo urbano.	1
Mills, Richard L	Estadística para economía y administración.	1
Meadows, Domella H.	Los límites del crecimiento :	2
Beyme, Klaus Von	La clase política en el Estado de partidos.	1
Buccheim, Hans	Política y poder.	1
Romero, José Luis	Las ideas políticas en Argentina.	5
Waldman, Peter	Ensayos sobre política y sociedad en América Latina.	1
Deutsch, Karl W.	"Los nervios del gobierno; modelos de comunicación y control políticos."	1
